run_id,scenario_id,repetition,arm,terminal_status,schema_valid,finish_reason,truncation_status,emitted_decisions,decoded_preserve_count,predicted_write_set_size,tp,fp,fn,precision,recall,f1,fnr,full_recall,prompt_tokens,completion_tokens,total_tokens,model_calls,latency_seconds,api_cost,raw_response_sha256,invalid_ids,duplicate_ids,conflicts,failure_category
stgc-v2-djangocms-external-validity-002-impact_plan_v2-r1,djangocms-external-validity-002,1,impact_plan_v2,succeeded,True,stop,False,3,141,3,1,2,0,0.333333,1.0,0.5,0.0,True,3808,741,4549,1,11.953,0.001883,180121bb7187f1c74ec4ff4f122591dbfbd255003487228fb91843b487009528,[],[],[],
stgc-v2-djangocms-external-validity-002-impact_plan_v2-r2,djangocms-external-validity-002,2,impact_plan_v2,succeeded,True,stop,False,3,141,3,1,2,0,0.333333,1.0,0.5,0.0,True,3808,528,4336,1,6.171,0.00167,c98d8d1a72eeecc82654137df25ba2979905c72a4e2f609b74bfdd70cf1c694e,[],[],[],
stgc-v2-djangocms-external-validity-002-impact_plan_v2-r3,djangocms-external-validity-002,3,impact_plan_v2,failed,False,stop,False,0,0,0,0,0,1,0.0,0.0,0.0,1.0,False,3808,579,4387,1,6.61,0.001721,3f12862562075241ba55e48bc22c0354b1df6ae400fb61e0e1cedb44f965bac5,[],[],[],impact_plan_invariant_failure: v_missing_validation_reason: cms/models/__init__.py
stgc-v2-djangocms-external-validity-002-impact_plan_v2-r4,djangocms-external-validity-002,4,impact_plan_v2,succeeded,True,stop,False,3,141,2,1,1,0,0.5,1.0,0.666667,0.0,True,3808,614,4422,1,5.266,0.001756,a664f8ce1d786a116aa7b45869acbdbe8eed7ad98d7cd5c7f88954d84e14a14c,[],[],[],
stgc-v2-djangocms-external-validity-002-impact_plan_v2-r5,djangocms-external-validity-002,5,impact_plan_v2,succeeded,True,stop,False,3,141,1,1,0,0,1.0,1.0,1.0,0.0,True,3808,551,4359,1,5.61,0.001693,7ed460894ea0e7da8347f9acceb0df3f08b831b23b9dc23fa08134d8f19f44e0,[],[],[],
stgc-v2-djangocms-external-validity-004-impact_plan_v2-r1,djangocms-external-validity-004,1,impact_plan_v2,succeeded,True,stop,False,7,137,5,4,1,0,0.8,1.0,0.888889,0.0,True,3447,1011,4458,1,9.078,0.002045,b53d6618334d9bac8638399bdff346bea2447f6bf7ec91fb0d0064c14fa2ef41,[],[],[],
stgc-v2-djangocms-external-validity-004-impact_plan_v2-r2,djangocms-external-validity-004,2,impact_plan_v2,succeeded,True,stop,False,6,138,4,4,0,0,1.0,1.0,1.0,0.0,True,3447,874,4321,1,9.469,0.001908,0331338ec05bbaf936bb4e5fee7cc443d701a609a103a97924fbe6cceffad853,[],[],[],
stgc-v2-djangocms-external-validity-004-impact_plan_v2-r3,djangocms-external-validity-004,3,impact_plan_v2,succeeded,True,stop,False,8,136,6,4,2,0,0.666667,1.0,0.8,0.0,True,3447,1209,4656,1,8.953,0.002243,fbce50055ca6b040e97d9e5e27080db5620c4d9ee5161a861613fb9100aeda29,[],[],[],
stgc-v2-djangocms-external-validity-004-impact_plan_v2-r4,djangocms-external-validity-004,4,impact_plan_v2,succeeded,True,stop,False,7,137,5,4,1,0,0.8,1.0,0.888889,0.0,True,3447,1047,4494,1,8.906,0.002081,f2e7536b565ed80e5c66bed1188fa7a6897328cd44550f33d53cb1f367988c9f,[],[],[],
stgc-v2-djangocms-external-validity-004-impact_plan_v2-r5,djangocms-external-validity-004,5,impact_plan_v2,succeeded,True,stop,False,8,136,6,4,2,0,0.666667,1.0,0.8,0.0,True,3447,1525,4972,1,12.547,0.002559,cfd168abde0e16fee7e9b9a0cc6b1756fbde528d559be4ddaa2f09804c96d390,[],[],[],
stgc-v2-djangocms-external-validity-005-impact_plan_v2-r1,djangocms-external-validity-005,1,impact_plan_v2,succeeded,True,stop,False,6,138,6,5,1,0,0.833333,1.0,0.909091,0.0,True,3997,1129,5126,1,20.734,0.002328,a5dc5bd139b95c61e9cf1b09aced83ddac7a51fbf3d20d0549fe5fbd89a27e7c,[],[],[],
stgc-v2-djangocms-external-validity-005-impact_plan_v2-r2,djangocms-external-validity-005,2,impact_plan_v2,succeeded,True,stop,False,6,138,4,4,0,1,1.0,0.8,0.888889,0.2,False,3997,1160,5157,1,12.625,0.002359,0fb8168254ec72187f44c33b7c9a08fd3f9d04164d9416bfa104103eb73afdff,[],[],[],
stgc-v2-djangocms-external-validity-005-impact_plan_v2-r3,djangocms-external-validity-005,3,impact_plan_v2,succeeded,True,stop,False,6,138,6,5,1,0,0.833333,1.0,0.909091,0.0,True,3997,1161,5158,1,10.891,0.00236,151ab144f3a167eb86d3d5c3cff0899c79f1fcb24712e4afd8a85313baff04b6,[],[],[],
stgc-v2-djangocms-external-validity-005-impact_plan_v2-r4,djangocms-external-validity-005,4,impact_plan_v2,succeeded,True,stop,False,7,137,5,5,0,0,1.0,1.0,1.0,0.0,True,3997,1100,5097,1,31.578,0.002299,b369818f36be3dc79527b5b5990d0a36d9ee8e49bf9eae9231f1875f0d4b7729,[],[],[],
stgc-v2-djangocms-external-validity-005-impact_plan_v2-r5,djangocms-external-validity-005,5,impact_plan_v2,succeeded,True,stop,False,6,138,6,5,1,0,0.833333,1.0,0.909091,0.0,True,3997,984,4981,1,48.843,0.002183,93bfe03c6cd6f0908f479f6cffbca05c4ab38163b6404d38bac8f69168f265f8,[],[],[],
stgc-v2-djangocms-external-validity-006-impact_plan_v2-r1,djangocms-external-validity-006,1,impact_plan_v2,succeeded,True,stop,False,5,139,3,1,2,2,0.333333,0.333333,0.333333,0.666667,False,3785,835,4620,1,15.515,0.001971,14f33efab4fdb5526f087dab88341977eee8659534d124ec610943cbb44aaf68,[],[],[],
stgc-v2-djangocms-external-validity-006-impact_plan_v2-r2,djangocms-external-validity-006,2,impact_plan_v2,succeeded,True,stop,False,6,138,4,2,2,1,0.5,0.666667,0.571429,0.333333,False,3785,863,4648,1,13.266,0.001998,5251092e4d59d59fa998932ca3696af30dc664c44b16509395422b3166179249,[],[],[],
