run_id,scenario_id,strategy,strategy_id,repetition,status,failure_classification,changed_requirement_pass,baseline_pass,migration_generation_passed,impact_recall,impact_recall_full,gold_regenerate_source_paths,predicted_regenerate_source_paths,actual_changed_source_paths,unintended_preserve_changes,preservation_pass,selected_artifact_count,regenerated_artifact_count,total_workflow_model_calls,total_workflow_tokens,duration_seconds,repair_attempts,impact_expansion_count,escalated_to_human_review,unresolved_human_review_count,prohibited_write_attempts,gold_regenerate_count,gold_preserve_count,tp,fn,fp,tn,recall,fnr,precision,f1,action_accuracy,selection_prompt_tokens,selection_completion_tokens,regeneration_prompt_tokens,regeneration_completion_tokens,repair_prompt_tokens,repair_completion_tokens,planner_prompt_tokens,planner_completion_tokens,planner_model_calls,planner_latency_seconds
todo-smoke-001_impact_plan_rep1_5d70887c,todo-smoke-001,Selective,impact_plan,1,failed,model_output,False,False,False,1.0,True,todo/models.py;todo/serializers.py;todo/views.py,todo/models.py;todo/serializers.py;todo/views.py,,,True,3,0,14,26745,246.83,3,0,False,0,0,3,2,3,0,0,1,1.0,0.0,1.0,1.0,0.8,3472,2675,2611,558,7788,9641,0,0,0,0.0
todo-smoke-001_impact_plan_rep2_fd0baa74,todo-smoke-001,Selective,impact_plan,2,failed,model_output,False,False,False,1.0,True,todo/models.py;todo/serializers.py;todo/views.py,todo/models.py;todo/serializers.py;todo/views.py,,,True,3,0,15,28562,174.42,3,0,False,0,0,3,2,3,0,0,2,1.0,0.0,1.0,1.0,1.0,3472,2868,2611,850,8790,9971,0,0,0,0.0
todo-smoke-001_impact_plan_rep3_51df818f,todo-smoke-001,Selective,impact_plan,3,failed,model_output,False,False,False,1.0,True,todo/models.py;todo/serializers.py;todo/views.py,todo/models.py;todo/serializers.py;todo/views.py,,,True,3,0,15,28273,409.25,3,0,False,0,0,3,2,3,0,0,2,1.0,0.0,1.0,1.0,1.0,3472,2590,2611,4694,8805,6101,0,0,0,0.0
todo-smoke-001_impact_plan_rep4_8b7d4b4b,todo-smoke-001,Selective,impact_plan,4,failed,model_output,False,False,False,1.0,True,todo/models.py;todo/serializers.py;todo/views.py,todo/models.py;todo/serializers.py;todo/views.py,,,True,3,0,15,24894,205.44,3,0,False,0,0,3,2,3,0,0,2,1.0,0.0,1.0,1.0,1.0,3472,2963,2611,4468,9657,1723,0,0,0,0.0
todo-smoke-001_impact_plan_rep5_1cdbbe42,todo-smoke-001,Selective,impact_plan,5,failed,model_output,False,False,False,1.0,True,todo/models.py;todo/serializers.py;todo/views.py,todo/models.py;todo/serializers.py;todo/views.py,,,True,3,0,15,20386,52.26,3,0,False,0,0,3,2,3,0,0,2,1.0,0.0,1.0,1.0,1.0,3472,2790,2611,565,8868,2080,0,0,0,0.0
todo-smoke-001_iterative_repository_agent_rep1_ccf4026e,todo-smoke-001,Agent,iterative_repository_agent,1,failed,model_output,False,False,False,0.0,False,todo/models.py;todo/serializers.py;todo/views.py,,,,True,0,0,8,8137,137.08,0,0,False,0,0,3,2,0,3,0,2,0.0,1.0,0.0,0.0,0.4,7981,156,0,0,0,0,0,0,0,0.0
todo-smoke-001_iterative_repository_agent_rep2_a9c67edb,todo-smoke-001,Agent,iterative_repository_agent,2,failed,model_output,False,False,False,0.0,False,todo/models.py;todo/serializers.py;todo/views.py,,,,True,0,0,11,15408,113.88,0,0,False,0,0,3,2,0,3,0,2,0.0,1.0,0.0,0.0,0.4,7970,199,2611,4628,0,0,0,0,0,0.0
todo-smoke-001_iterative_repository_agent_rep3_e0436846,todo-smoke-001,Agent,iterative_repository_agent,3,failed,model_output,False,False,False,0.0,False,todo/models.py;todo/serializers.py;todo/views.py,,,,True,0,0,8,8133,11.2,0,0,False,0,0,3,2,0,3,0,2,0.0,1.0,0.0,0.0,0.4,7981,152,0,0,0,0,0,0,0,0.0
todo-smoke-001_iterative_repository_agent_rep4_080c2004,todo-smoke-001,Agent,iterative_repository_agent,4,failed,model_output,False,False,False,0.0,False,todo/models.py;todo/serializers.py;todo/views.py,,,,True,0,0,8,8141,10.76,0,0,False,0,0,3,2,0,3,0,2,0.0,1.0,0.0,0.0,0.4,7971,170,0,0,0,0,0,0,0,0.0
todo-smoke-001_iterative_repository_agent_rep5_6af3b87c,todo-smoke-001,Agent,iterative_repository_agent,5,failed,model_output,False,False,False,0.0,False,todo/models.py;todo/serializers.py;todo/views.py,,,,True,0,0,8,8118,9.2,0,0,False,0,0,3,2,0,3,0,2,0.0,1.0,0.0,0.0,0.4,7970,148,0,0,0,0,0,0,0,0.0
