action_f1,action_fnr,action_precision,action_recall,action_support,actual_changed_source_paths,agent_finalized_within_8,baseline_pass,changed_requirement_pass,configured_caps,duration_seconds,escalated_to_human_review,functional_validation_passed,functional_validation_reached,gold_preserve_source_paths,gold_regenerate_source_paths,impact_expansion_count,impact_plan_hash,impact_plan_parent_hash,impact_plan_version,impact_recall,impact_recall_full,migration_generation_passed,planner_completion_tokens,planner_latency_seconds,planner_model_calls,planner_prompt_tokens,planner_total_tokens,predicted_regenerate_source_paths,preservation_pass,prohibited_write_attempts,regenerated_artifact_count,regeneration_completion_tokens,regeneration_prompt_tokens,repair_attempts,repair_completion_tokens,repair_prompt_tokens,repetition,run_id,scenario_id,selected_artifact_count,selection_completion_tokens,selection_prompt_tokens,status,strategy_id,total_workflow_model_calls,total_workflow_tokens,truncated,unintended_preserve_changes
0.0,1.0,0.0,0.0,"{""human_review"": 0, ""preserve"": 5, ""regenerate"": 0, ""validate_only"": 0}",[],False,False,False,"{""agent_control"": 1024, ""impact_plan"": 4096, ""patch"": 8192, ""repair_patch"": 8192}",248.78199999999924,False,False,False,"[""todo/permissions.py"", ""todo/urls.py""]","[""todo/models.py"", ""todo/serializers.py"", ""todo/views.py""]",0,,,,0.0,False,False,0,0.0,0,0,0,[],True,0,0,343,2406,0,0,0,1,todo-smoke-001_iterative_repository_agent_rep1_d9fb5715,todo-smoke-001,0,239,8109,failed,iterative_repository_agent,11,11097,False,[]
0.0,1.0,0.0,0.0,"{""human_review"": 0, ""preserve"": 5, ""regenerate"": 0, ""validate_only"": 0}",[],False,False,False,"{""agent_control"": 1024, ""impact_plan"": 4096, ""patch"": 8192, ""repair_patch"": 8192}",174.04699999999866,False,False,False,"[""todo/permissions.py"", ""todo/urls.py""]","[""todo/models.py"", ""todo/serializers.py"", ""todo/views.py""]",0,,,,0.0,False,False,0,0.0,0,0,0,[],True,0,0,342,2406,1,377,2406,2,todo-smoke-001_iterative_repository_agent_rep2_a72ee0cf,todo-smoke-001,0,269,7213,failed,iterative_repository_agent,14,13013,False,[]
0.0,1.0,0.0,0.0,"{""human_review"": 0, ""preserve"": 5, ""regenerate"": 0, ""validate_only"": 0}","[""todo/models.py"", ""todo/serializers.py"", ""todo/views.py""]",True,True,False,"{""agent_control"": 1024, ""impact_plan"": 4096, ""patch"": 8192, ""repair_patch"": 8192}",53.48499999999876,False,False,True,"[""todo/permissions.py"", ""todo/urls.py""]","[""todo/models.py"", ""todo/serializers.py"", ""todo/views.py""]",0,,,,0.0,False,True,0,0.0,0,0,0,[],True,0,3,374,2406,1,363,2406,3,todo-smoke-001_iterative_repository_agent_rep3_cda87f13,todo-smoke-001,0,265,9051,failed,iterative_repository_agent,14,14865,False,[]
0.0,1.0,0.0,0.0,"{""human_review"": 0, ""preserve"": 5, ""regenerate"": 0, ""validate_only"": 0}",[],False,False,False,"{""agent_control"": 1024, ""impact_plan"": 4096, ""patch"": 8192, ""repair_patch"": 8192}",30.764999999999418,False,False,False,"[""todo/permissions.py"", ""todo/urls.py""]","[""todo/models.py"", ""todo/serializers.py"", ""todo/views.py""]",0,,,,0.0,False,False,0,0.0,0,0,0,[],True,0,0,357,2406,1,375,2406,4,todo-smoke-001_iterative_repository_agent_rep4_7b67bd25,todo-smoke-001,0,274,9144,failed,iterative_repository_agent,14,14962,False,[]
0.0,1.0,0.0,0.0,"{""human_review"": 0, ""preserve"": 5, ""regenerate"": 0, ""validate_only"": 0}",[],False,False,False,"{""agent_control"": 1024, ""impact_plan"": 4096, ""patch"": 8192, ""repair_patch"": 8192}",31.5,False,False,False,"[""todo/permissions.py"", ""todo/urls.py""]","[""todo/models.py"", ""todo/serializers.py"", ""todo/views.py""]",0,,,,0.0,False,False,0,0.0,0,0,0,[],True,0,0,376,2406,1,382,2406,5,todo-smoke-001_iterative_repository_agent_rep5_d53177c5,todo-smoke-001,0,253,9030,failed,iterative_repository_agent,14,14853,False,[]
1.0,0.0,1.0,1.0,"{""human_review"": 0, ""preserve"": 2, ""regenerate"": 3, ""validate_only"": 0}","[""todo/models.py"", ""todo/serializers.py"", ""todo/views.py""]",True,False,False,"{""agent_control"": 1024, ""impact_plan"": 4096, ""patch"": 8192, ""repair_patch"": 8192}",79.09399999999914,True,False,False,"[""todo/permissions.py"", ""todo/urls.py""]","[""todo/models.py"", ""todo/serializers.py"", ""todo/views.py""]",1,7fe7ca7e7c66dd12af6034b27fa77826e0e55594eb68f08e6c6886a43a5eee56,4cd06828512736ea512bc177ce71797a41c8c7b09afa958b876c4f5b94984fd8,v2,1.0,True,False,1774,42,2,2317,4091,"[""todo/models.py"", ""todo/serializers.py"", ""todo/views.py""]",True,0,0,392,2406,1,402,2406,1,todo-smoke-001_impact_plan_rep1_0b0c1df0,todo-smoke-001,3,2691,3472,failed,impact_plan,9,11769,False,[]
1.0,0.0,1.0,1.0,"{""human_review"": 0, ""preserve"": 2, ""regenerate"": 3, ""validate_only"": 0}",[],True,False,False,"{""agent_control"": 1024, ""impact_plan"": 4096, ""patch"": 8192, ""repair_patch"": 8192}",44.8119999999999,True,False,False,"[""todo/permissions.py"", ""todo/urls.py""]","[""todo/models.py"", ""todo/serializers.py"", ""todo/views.py""]",1,05e40e6e70b942a3847a584129f09e326be79d6a4ad14baebf5ea36d5bf80889,2f2254fb6edcc5785c06ef35804130eb134238c67ffd58ccd264f83fe517ad92,v2,1.0,True,False,1935,30,2,2317,4252,"[""todo/models.py"", ""todo/serializers.py"", ""todo/views.py""]",True,0,0,480,2406,1,339,2406,2,todo-smoke-001_impact_plan_rep2_470072be,todo-smoke-001,3,2837,3472,failed,impact_plan,9,11940,False,[]
1.0,0.0,1.0,1.0,"{""human_review"": 0, ""preserve"": 1, ""regenerate"": 3, ""validate_only"": 1}",[],True,False,False,"{""agent_control"": 1024, ""impact_plan"": 4096, ""patch"": 8192, ""repair_patch"": 8192}",98.625,True,False,False,"[""todo/permissions.py"", ""todo/urls.py""]","[""todo/models.py"", ""todo/serializers.py"", ""todo/views.py""]",1,dc5806a787edc0580b28ba02a933a572d4f2e63b7a2845bd7b614f8c6dd861b4,9bc24e5139f833e3393293f83b150e7295f5088473d16af2a35ae91616af4134,v2,1.0,True,False,2044,21,2,2317,4361,"[""todo/models.py"", ""todo/serializers.py"", ""todo/views.py""]",True,0,0,365,2406,1,390,2406,3,todo-smoke-001_impact_plan_rep3_211f6767,todo-smoke-001,3,3075,3472,failed,impact_plan,9,12114,False,[]
1.0,0.0,1.0,1.0,"{""human_review"": 0, ""preserve"": 1, ""regenerate"": 3, ""validate_only"": 1}",[],True,False,False,"{""agent_control"": 1024, ""impact_plan"": 4096, ""patch"": 8192, ""repair_patch"": 8192}",121.67200000000048,True,False,False,"[""todo/permissions.py"", ""todo/urls.py""]","[""todo/models.py"", ""todo/serializers.py"", ""todo/views.py""]",1,47d9abaa645629c58a90c956dcff72be6438c27db0c4eb0dda690dd14c965663,889c02055adedec956f182bc46d1511b590f7fbfec1b1e40257cf9849f1bb83e,v2,1.0,True,False,1862,61,2,2317,4179,"[""todo/models.py"", ""todo/serializers.py"", ""todo/views.py""]",True,0,0,366,2406,1,351,2406,4,todo-smoke-001_impact_plan_rep4_f347af3f,todo-smoke-001,3,2784,3472,failed,impact_plan,9,11785,False,[]
1.0,0.0,1.0,1.0,"{""human_review"": 0, ""preserve"": 2, ""regenerate"": 3, ""validate_only"": 0}","[""todo/models.py"", ""todo/serializers.py"", ""todo/views.py""]",True,False,False,"{""agent_control"": 1024, ""impact_plan"": 4096, ""patch"": 8192, ""repair_patch"": 8192}",70.6869999999999,True,False,False,"[""todo/permissions.py"", ""todo/urls.py""]","[""todo/models.py"", ""todo/serializers.py"", ""todo/views.py""]",1,f743588b871080a2fdba7a9ae2f7a7eb676a4ff68607661aaad07ef37b9007eb,e123fbf1391bff9609eb34b04959f733cc7214f62106cc9081dc8eb36381ac6c,v2,1.0,True,False,1948,36,2,2317,4265,"[""todo/models.py"", ""todo/serializers.py"", ""todo/views.py""]",True,0,0,355,2406,1,390,2406,5,todo-smoke-001_impact_plan_rep5_785ca41e,todo-smoke-001,3,2813,3472,failed,impact_plan,9,11842,False,[]
