scenario_id,strategy_id,n,valid_finals,full_recall_count,precision_mean,precision_median,recall_mean,recall_median,f1_mean,f1_median,fnr_mean,fnr_median,write_set_size_mean,write_set_size_median,model_calls,tokens,latency_seconds,api_cost_usd,R,P,V,H,human_review_rate_mean,validate_only_rate_mean,agent_finalization_rate,agent_tool_calls,agent_control_calls,agent_inspected_files
todo-heldout-001,impact_plan,5,5,5,0.6667,0.6667,1.0000,1.0000,0.8000,0.8000,0.0000,0.0000,3.0000,3.0000,5,9130,68.3610,0.0057,15,6,4,0,0.0000,0.1600,,,,
todo-heldout-001,iterative_repository_agent,5,5,5,0.8667,1.0000,1.0000,1.0000,0.9200,1.0000,0.0000,0.0000,2.4000,2.0000,40,37595,46.7020,0.0122,,,,,,,1.0000,24,40,14
todo-heldout-002,impact_plan,5,5,5,0.7000,0.5000,1.0000,1.0000,0.8000,0.6667,0.0000,0.0000,1.6000,2.0000,5,9153,39.7660,0.0056,8,11,6,0,0.0000,0.2400,,,,
todo-heldout-002,iterative_repository_agent,5,5,5,0.9000,1.0000,1.0000,1.0000,0.9333,1.0000,0.0000,0.0000,1.2000,1.0000,30,25184,280.2020,0.0082,,,,,,,1.0000,25,30,17
todo-heldout-003,impact_plan,5,5,5,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,3.0000,3.0000,5,9602,35.3900,0.0062,15,5,5,0,0.0000,0.2000,,,,
todo-heldout-003,iterative_repository_agent,5,5,5,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,3.0000,3.0000,40,37599,42.8440,0.0123,,,,,,,1.0000,26,40,16
todo-heldout-004,impact_plan,5,5,5,0.5000,0.5000,1.0000,1.0000,0.6667,0.6667,0.0000,0.0000,2.0000,2.0000,5,8993,34.3760,0.0056,10,13,2,0,0.0000,0.0800,,,,
todo-heldout-004,iterative_repository_agent,5,5,5,0.5000,0.5000,1.0000,1.0000,0.6667,0.6667,0.0000,0.0000,2.0000,2.0000,30,30217,35.0780,0.0099,,,,,,,1.0000,25,30,10
todo-heldout-005,impact_plan,5,5,5,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,2.0000,2.0000,5,9965,33.6430,0.0063,10,11,4,0,0.0000,0.1600,,,,
todo-heldout-005,iterative_repository_agent,5,5,5,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,2.0000,2.0000,40,41840,42.7030,0.0136,,,,,,,1.0000,34,40,21
todo-heldout-006,impact_plan,5,5,5,0.7500,0.7500,1.0000,1.0000,0.8571,0.8571,0.0000,0.0000,4.0000,4.0000,5,10128,24.6260,0.0066,20,5,0,0,0.0000,0.0000,,,,
todo-heldout-006,iterative_repository_agent,5,5,5,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,3.0000,3.0000,40,38448,42.5790,0.0125,,,,,,,1.0000,25,40,15
__all__,iterative_repository_agent,30,30,30,0.8778,1.0000,1.0000,1.0000,0.9200,1.0000,0.0000,0.0000,2.2667,2.0000,220,210883,490.1080,0.0687,,,,,,,1.0000,159,220,93
__all__,impact_plan,30,30,30,0.7694,0.7500,1.0000,1.0000,0.8540,0.8571,0.0000,0.0000,2.6000,2.5000,30,56971,236.1620,0.0361,78,51,21,0,0.0000,0.1400,,,,
