run_id,scenario_id,strategy_name,repetition,status,failure_classification,model_calls,prompt_tokens,completion_tokens,total_tokens,total_workflow_tokens,total_workflow_model_calls,duration_seconds,selected_artifact_count,regenerated_artifact_count,preserved_artifact_count,migration_generation_passed,baseline_validation_passed,scenario_evaluator_passed
todo-smoke-001_impact_plan_rep1_5d70887c,todo-smoke-001,impact_plan,1,failed,model_output,14,13871,12874,26745,26745,14,246.8279999999977,3,0,1,,,
todo-smoke-001_impact_plan_rep2_fd0baa74,todo-smoke-001,impact_plan,2,failed,model_output,15,14873,13689,28562,28562,15,174.42199999999866,3,0,2,,,
todo-smoke-001_impact_plan_rep3_51df818f,todo-smoke-001,impact_plan,3,failed,model_output,15,14888,13385,28273,28273,15,409.25,3,0,2,,,
todo-smoke-001_impact_plan_rep4_8b7d4b4b,todo-smoke-001,impact_plan,4,failed,model_output,15,15740,9154,24894,24894,15,205.43799999999828,3,0,2,,,
todo-smoke-001_impact_plan_rep5_1cdbbe42,todo-smoke-001,impact_plan,5,failed,model_output,15,14951,5435,20386,20386,15,52.26499999999942,3,0,2,,,
todo-smoke-001_iterative_repository_agent_rep1_ccf4026e,todo-smoke-001,iterative_repository_agent,1,failed,model_output,8,7981,156,8137,8137,8,137.0779999999977,0,0,5,,,
todo-smoke-001_iterative_repository_agent_rep2_a9c67edb,todo-smoke-001,iterative_repository_agent,2,failed,model_output,11,10581,4827,15408,15408,11,113.875,0,0,5,,,
todo-smoke-001_iterative_repository_agent_rep3_e0436846,todo-smoke-001,iterative_repository_agent,3,failed,model_output,8,7981,152,8133,8133,8,11.204000000001543,0,0,5,,,
todo-smoke-001_iterative_repository_agent_rep4_080c2004,todo-smoke-001,iterative_repository_agent,4,failed,model_output,8,7971,170,8141,8141,8,10.764999999999418,0,0,5,,,
todo-smoke-001_iterative_repository_agent_rep5_6af3b87c,todo-smoke-001,iterative_repository_agent,5,failed,model_output,8,7970,148,8118,8118,8,9.204000000001543,0,0,5,,,
todo-smoke-002_impact_plan_rep1_90d001e8,todo-smoke-002,impact_plan,1,failed,model_output,11,12615,5472,18087,18087,11,79.71900000000096,2,0,2,,,
todo-smoke-002_impact_plan_rep2_60109d12,todo-smoke-002,impact_plan,2,failed,model_output,11,12615,10489,23104,23104,11,128.28099999999904,2,0,2,,,
todo-smoke-002_impact_plan_rep3_bdd3d7ec,todo-smoke-002,impact_plan,3,failed,model_output,11,12683,14156,26839,26839,11,151.375,2,0,2,,,
todo-smoke-002_impact_plan_rep4_b70e1794,todo-smoke-002,impact_plan,4,failed,model_output,11,12615,10975,23590,23590,11,223.53099999999904,2,0,2,,,
todo-smoke-002_impact_plan_rep5_87eac3c9,todo-smoke-002,impact_plan,5,failed,model_output,11,12667,21829,34496,34496,11,645.7340000000004,2,0,2,,,
todo-smoke-002_iterative_repository_agent_rep1_758a3c15,todo-smoke-002,iterative_repository_agent,1,failed,model_output,10,10568,4785,15353,15353,10,49.56300000000192,0,0,5,,,
todo-smoke-002_iterative_repository_agent_rep2_c9aadf2d,todo-smoke-002,iterative_repository_agent,2,failed,model_output,8,8956,161,9117,9117,8,8.3279999999977,0,0,5,,,
todo-smoke-002_iterative_repository_agent_rep3_709ab9ab,todo-smoke-002,iterative_repository_agent,3,failed,model_output,8,8956,156,9112,9112,8,9.7029999999977,0,0,5,,,
todo-smoke-002_iterative_repository_agent_rep4_1a105cd1,todo-smoke-002,iterative_repository_agent,4,failed,model_output,8,8956,160,9116,9116,8,9.40599999999904,0,0,5,,,
todo-smoke-002_iterative_repository_agent_rep5_900db234,todo-smoke-002,iterative_repository_agent,5,failed,model_output,8,8956,155,9111,9111,8,8.859000000000378,0,0,5,,,
todo-smoke-003_impact_plan_rep1_f34bff23,todo-smoke-003,impact_plan,1,failed,model_output,18,20908,9703,30611,30611,18,582.4850000000006,4,0,1,,,
todo-smoke-003_impact_plan_rep2_7a263d29,todo-smoke-003,impact_plan,2,failed,model_output,14,16093,5315,21408,21408,14,130.73399999999674,4,0,1,,,
todo-smoke-003_impact_plan_rep3_c83646b2,todo-smoke-003,impact_plan,3,failed,model_output,14,16057,5194,21251,21251,14,66.76599999999598,4,0,1,,,
todo-smoke-003_impact_plan_rep4_c18d6bb9,todo-smoke-003,impact_plan,4,failed,model_output,14,16057,9666,25723,25723,14,195.10900000000402,4,0,1,,,
todo-smoke-003_impact_plan_rep5_3e86192e,todo-smoke-003,impact_plan,5,failed,model_output,19,22206,26082,48288,48288,19,737.0780000000013,4,0,1,,,
todo-smoke-003_iterative_repository_agent_rep1_4e856aa5,todo-smoke-003,iterative_repository_agent,1,failed,model_output,12,14162,1139,15301,15301,12,31.640999999995984,0,0,5,,,
todo-smoke-003_iterative_repository_agent_rep2_aa952cae,todo-smoke-003,iterative_repository_agent,2,failed,model_output,8,10000,210,10210,10210,8,10.985000000000582,0,0,5,,,
todo-smoke-003_iterative_repository_agent_rep3_a15c29b9,todo-smoke-003,iterative_repository_agent,3,failed,model_output,8,10000,258,10258,10258,8,10.85899999999674,0,0,5,,,
todo-smoke-003_iterative_repository_agent_rep4_6f5cf21f,todo-smoke-003,iterative_repository_agent,4,failed,model_output,8,10000,258,10258,10258,8,10.296999999998661,0,0,5,,,
todo-smoke-003_iterative_repository_agent_rep5_2302cc62,todo-smoke-003,iterative_repository_agent,5,failed,model_output,8,9948,148,10096,10096,8,10.218999999997322,0,0,5,,,
