run_id,scenario_id,strategy_name,repetition,status,failure_classification,model_calls,prompt_tokens,completion_tokens,total_tokens,total_workflow_tokens,total_workflow_model_calls,duration_seconds,selected_artifact_count,regenerated_artifact_count,preserved_artifact_count,migration_generation_passed,baseline_validation_passed,scenario_evaluator_passed
todo-smoke-001_impact_plan_rep1_71666431,todo-smoke-001,impact_plan,1,succeeded,,1,1155,1003,2158,2158,1,13.5,3,0,1,,,
todo-smoke-001_impact_plan_rep2_bfacac6d,todo-smoke-001,impact_plan,2,succeeded,,1,1155,1025,2180,2180,1,16.18699999999808,3,0,1,,,
todo-smoke-001_impact_plan_rep3_ede94e50,todo-smoke-001,impact_plan,3,succeeded,,1,1155,990,2145,2145,1,12.187999999998283,3,0,1,,,
todo-smoke-001_impact_plan_rep4_b9c54532,todo-smoke-001,impact_plan,4,succeeded,,1,1155,984,2139,2139,1,11.1720000000023,3,0,1,,,
todo-smoke-001_impact_plan_rep5_f8f17abf,todo-smoke-001,impact_plan,5,succeeded,,1,1155,892,2047,2047,1,11.06300000000192,3,0,2,,,
todo-smoke-001_iterative_repository_agent_rep1_993cb75b,todo-smoke-001,iterative_repository_agent,1,succeeded,,5,4340,178,4518,4518,5,8.046999999998661,3,0,2,,,
todo-smoke-001_iterative_repository_agent_rep2_c69ccb3f,todo-smoke-001,iterative_repository_agent,2,succeeded,,5,4340,167,4507,4507,5,7.327999999997701,3,0,2,,,
todo-smoke-001_iterative_repository_agent_rep3_83cac696,todo-smoke-001,iterative_repository_agent,3,succeeded,,5,4340,244,4584,4584,5,10.28099999999904,3,0,2,,,
todo-smoke-001_iterative_repository_agent_rep4_b4269477,todo-smoke-001,iterative_repository_agent,4,succeeded,,5,4340,157,4497,4497,5,8.34400000000096,3,0,2,,,
todo-smoke-001_iterative_repository_agent_rep5_db789d6d,todo-smoke-001,iterative_repository_agent,5,succeeded,,5,4340,157,4497,4497,5,7.34400000000096,3,0,2,,,
todo-smoke-002_impact_plan_rep1_512a72db,todo-smoke-002,impact_plan,1,succeeded,,1,1264,856,2120,2120,1,10.2029999999977,2,0,2,,,
todo-smoke-002_impact_plan_rep2_e4782748,todo-smoke-002,impact_plan,2,succeeded,,1,1264,1134,2398,2398,1,13.53099999999904,2,0,2,,,
todo-smoke-002_impact_plan_rep3_f32c74e4,todo-smoke-002,impact_plan,3,succeeded,,1,1264,854,2118,2118,1,10.15599999999904,2,0,2,,,
todo-smoke-002_impact_plan_rep4_40ad4933,todo-smoke-002,impact_plan,4,succeeded,,1,1264,1080,2344,2344,1,12.078000000001339,2,0,2,,,
todo-smoke-002_impact_plan_rep5_81ed8d80,todo-smoke-002,impact_plan,5,succeeded,,1,1264,1073,2337,2337,1,24.43800000000192,2,0,2,,,
todo-smoke-002_iterative_repository_agent_rep1_c0c393d4,todo-smoke-002,iterative_repository_agent,1,succeeded,,5,5071,193,5264,5264,5,6.860000000000582,2,0,3,,,
todo-smoke-002_iterative_repository_agent_rep2_126edc30,todo-smoke-002,iterative_repository_agent,2,succeeded,,5,4899,181,5080,5080,5,6.938000000001921,2,0,3,,,
todo-smoke-002_iterative_repository_agent_rep3_ededdd32,todo-smoke-002,iterative_repository_agent,3,succeeded,,5,4848,194,5042,5042,5,7.202999999997701,2,0,3,,,
todo-smoke-002_iterative_repository_agent_rep4_7a7fd294,todo-smoke-002,iterative_repository_agent,4,succeeded,,6,6352,207,6559,6559,6,12.46900000000096,2,0,3,,,
todo-smoke-002_iterative_repository_agent_rep5_1431e304,todo-smoke-002,iterative_repository_agent,5,succeeded,,7,8039,206,8245,8245,7,12.06300000000192,2,0,3,,,
todo-smoke-003_impact_plan_rep1_0a834753,todo-smoke-003,impact_plan,1,succeeded,,1,1341,1315,2656,2656,1,17.7970000000023,4,0,1,,,
todo-smoke-003_impact_plan_rep2_7c3f34a4,todo-smoke-003,impact_plan,2,succeeded,,1,1341,1046,2387,2387,1,17.437999999998283,4,0,1,,,
todo-smoke-003_impact_plan_rep3_14ebae7d,todo-smoke-003,impact_plan,3,succeeded,,1,1341,1017,2358,2358,1,22.04699999999866,4,0,1,,,
todo-smoke-003_impact_plan_rep4_96a3c7d9,todo-smoke-003,impact_plan,4,succeeded,,1,1341,962,2303,2303,1,16.593000000000757,4,0,1,,,
todo-smoke-003_impact_plan_rep5_c45d5c18,todo-smoke-003,impact_plan,5,succeeded,,1,1341,1053,2394,2394,1,43.75,4,0,1,,,
todo-smoke-003_iterative_repository_agent_rep1_7e6996c5,todo-smoke-003,iterative_repository_agent,1,succeeded,,7,8612,252,8864,8864,7,11.875,4,0,1,,,
todo-smoke-003_iterative_repository_agent_rep2_f13e6f59,todo-smoke-003,iterative_repository_agent,2,succeeded,,8,10390,321,10711,10711,8,14.171999999998661,4,0,1,,,
todo-smoke-003_iterative_repository_agent_rep3_a67bab6d,todo-smoke-003,iterative_repository_agent,3,succeeded,,7,8410,227,8637,8637,7,11.46900000000096,4,0,1,,,
todo-smoke-003_iterative_repository_agent_rep4_b9cc5737,todo-smoke-003,iterative_repository_agent,4,succeeded,,7,8410,274,8684,8684,7,12.6720000000023,4,0,1,,,
todo-smoke-003_iterative_repository_agent_rep5_1c4487c9,todo-smoke-003,iterative_repository_agent,5,succeeded,,7,8612,211,8823,8823,7,10.625,4,0,1,,,
