title,authors,year,venue,entry_type,doi,url,source_files,dup_count,norm_title
A Behavioral Approach to Visual Navigation with Graph Localization Networks,Kevin Chen and Juan Pablo de Vicente and G. Sepulveda and {\'A}. Soto and Marynel V{\'a}zquez and S. Savarese,2019,ArXiv,article,,https://api.semanticscholar.org/CorpusId:67856785,papers_13.bib+papers_4.bib,2,a behavioral approach to visual navigation with graph localization networks
A Big Data Analysis Framework Using Apache Spark and Deep Learning,Anand Gupta and H. Thakur and Ritvik Shrivastava and Pulkit Kumar and Sreyashi Nag,2017,2017 IEEE International Conference on Data Mining Workshops (ICDMW),article,,https://api.semanticscholar.org/CorpusId:447043,papers_15.bib,1,a big data analysis framework using apache spark and deep learning
A Change Impact Analysis Model for Aspect Oriented Programs,Fabrice D{\'e}houl{\'e} and L. Badri and M. Badri,2017,International Conference on Evaluation of Novel Approaches to Software Engineering,inproceedings,,https://pdfs.semanticscholar.org/8624/1c225ce575f9242be2a0690aa7da7f5216c4.pdf,papers_8.bib,1,a change impact analysis model for aspect oriented programs
A change impact analysis to characterize evolving program behaviors,Neha Rungta and Suzette Person and Joshua Branchaud,2012,2012 28th IEEE International Conference on Software Maintenance (ICSM),article,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=\&arnumber=6405261,papers_8.bib,1,a change impact analysis to characterize evolving program behaviors
A Change Propagation Process for Distributed Software Architecture,Mohamed Oussama Hassan and Laurent Deruelle and H. Basson and Adeel Ahmad,2010,International Conference on Evaluation of Novel Approaches to Software Engineering,inproceedings,,https://api.semanticscholar.org/CorpusId:264591423,papers_8.bib,1,a change propagation process for distributed software architecture
A Combinatorial Design for Cascaded Coded Distributed Computing on General Networks,Nicholas Woolsey and Rong-Rong Chen and Mingyue Ji,2020,IEEE Transactions on Communications,article,,https://api.semanticscholar.org/CorpusId:220935528,papers_15.bib,1,a combinatorial design for cascaded coded distributed computing on general networks
A Comparison of Cache Blocking Methods for Fast Execution of Ensemble-based Score Computation,Xin Jin and Tao Yang and Xun Tang,2016,Proceedings of the 39th International ACM SIGIR conference on Research and Development in Information Retrieval,article,,http://dl.acm.org/citation.cfm?id=2911520,papers_15.bib,1,a comparison of cache blocking methods for fast execution of ensemble based score computation
A Comparison of Particle Filter and Graph-Based Optimization for Localization with Landmarks in Automated Vehicles,Daniel Wilbers and Christian Merfels and C. Stachniss,2019,2019 Third IEEE International Conference on Robotic Computing (IRC),article,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=\&arnumber=8675596,papers_13.bib+papers_4.bib,2,a comparison of particle filter and graph based optimization for localization with landmarks in automated vehicles
A comprehensive study of the predictive accuracy of dynamic change-impact analysis,Haipeng Cai and Ra{\'u}l A. Santelices,2015,J. Syst. Softw.,article,,https://doi.org/10.1016/j.jss.2015.02.018,papers_8.bib,1,a comprehensive study of the predictive accuracy of dynamic change impact analysis
"A Comprehensive Survey on Coded Distributed Computing: Fundamentals, Challenges, and Networking Applications",Jer Shyuan Ng and Wei Yang Bryan Lim and Luong Cong Nguyen and Zehui Xiong and Alia Asheralieva and D. Niyato and Cyril Leung and C. Miao,2021,IEEE Communications Surveys \& Tutorials,article,,https://api.semanticscholar.org/CorpusId:237246115,papers_15.bib,1,a comprehensive survey on coded distributed computing fundamentals challenges and networking applications
"A Comprehensive Survey on Root Cause Analysis in (Micro) Services: Methodologies, Challenges, and Trends",Tingting Wang and Guilin Qi,2024,ArXiv,article,,https://api.semanticscholar.org/CorpusId:271693171,papers_9.bib,1,a comprehensive survey on root cause analysis in micro services methodologies challenges and trends
A CONCEPT FOR AN AUTOMATED APPROACH OF PUBLIC TRANSPORT VEHICLES TO A BUS STOP,C. Albrecht and S. Kraus and A. Zimmermann and Uwe Stilla,2019,"The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",article,,https://api.semanticscholar.org/CorpusId:203705100,papers_13.bib,1,a concept for an automated approach of public transport vehicles to a bus stop
A Cost-Aware Hierarchical Cascade for Anomaly Detection at the Edge in Connected Vehicles,Cheng-Hsun Chang and Adarsh Prasad Behera and Sophia Zhang Pettersson and James Gross,2025,Proceedings of the Tenth ACM/IEEE Symposium on Edge Computing,article,,https://api.semanticscholar.org/CorpusId:283468630,papers_15.bib,1,a cost aware hierarchical cascade for anomaly detection at the edge in connected vehicles
A formal approach for change impact analysis of long term composed services using Probabilistic Cellular Automata,M. Thirumaran and M. Jannani and N. Sivakumar,2015,Journal of King Saud University Computer and Information Sciences,article,,https://api.semanticscholar.org/CorpusId:61247624,papers_7.bib,1,a formal approach for change impact analysis of long term composed services using probabilistic cellular automata
A function–behavior–structure framework for managing software project change,Maria C. Tafur-Preciado and Alix E. Rojas,2026,Software Quality Journal,article,,https://api.semanticscholar.org/CorpusId:289398730,papers_7.bib+papers_8.bib,2,a function behavior structure framework for managing software project change
A Fundamental Tradeoff Between Computation and Communication in Distributed Computing,Songze Li and M. Maddah-ali and Qian Yu and A. Avestimehr,2016,IEEE Transactions on Information Theory,article,,https://api.semanticscholar.org/CorpusId:9671549,papers_15.bib,1,a fundamental tradeoff between computation and communication in distributed computing
A Graph-Based Algorithm for Robust Sequential Localization Exploiting Multipath for Obstructed-LOS-Bias Mitigation,Alexander Venus and Erik Leitinger and S. Tertinek and K. Witrisal,2022,IEEE Transactions on Wireless Communications,article,,https://api.semanticscholar.org/CorpusId:251041143,papers_13.bib,1,a graph based algorithm for robust sequential localization exploiting multipath for obstructed los bias mitigation
A graph-based approach for mobile localization exploiting real and virtual landmarks,Florenc Demrozi and K. Costa and F. Tramarin and G. Pravadelli,2018,2018 IFIP/IEEE International Conference on Very Large Scale Integration (VLSI-SoC),article,,https://api.semanticscholar.org/CorpusId:67866860,papers_13.bib+papers_4.bib,2,a graph based approach for mobile localization exploiting real and virtual landmarks
A Graph Localization Approach for Underwater Sensor Networks to Assist a Diver in Distress,R. Diamant and Roberto Francescon,2021,"Sensors (Basel, Switzerland)",article,,https://api.semanticscholar.org/CorpusId:232087471,papers_13.bib+papers_4.bib,2,a graph localization approach for underwater sensor networks to assist a diver in distress
A GRAPH-MATCHING APPROACH TO INDOOR LOCALIZATION USING A MOBILE DEVICE AND A REFERENCE BIM,F. Bot and Pirouz Nourian and E. Verbree,2019,"The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",article,,https://api.semanticscholar.org/CorpusId:195452910,papers_13.bib+papers_4.bib,2,a graph matching approach to indoor localization using a mobile device and a reference bim
A Highly Accurate NILM: With an Electro-Spectral Space That Best Fits Algorithm's National Deployment Requirements,N. Calamaro and Moshe Donko and D. Shmilovitz,2021,Energies,article,,https://api.semanticscholar.org/CorpusId:243908313,papers_15.bib,1,a highly accurate nilm with an electro spectral space that best fits algorithm s national deployment requirements
"A historical, textual analysis approach to feature location",M. Chochlov and M. English and J. Buckley,2017,Inf. Softw. Technol.,article,,https://doi.org/10.1016/J.INFSOF.2017.04.003,papers_10.bib+papers_11.bib,2,a historical textual analysis approach to feature location
A Large-Scale Comparative Evaluation of IR-Based Tools for Bug Localization,S. A. Akbar and A. Kak,2020,2020 IEEE/ACM 17th International Conference on Mining Software Repositories (MSR),article,,http://dl.acm.org/citation.cfm?id=3387474,papers_10.bib+papers_11.bib,2,a large scale comparative evaluation of ir based tools for bug localization
A large-scale study of call graph-based impact prediction using mutation testing,Vincenzo Musco and Monperrus Martin and P. Preux,2016,Software Quality Journal,article,,https://api.semanticscholar.org/CorpusId:14682638,papers_12.bib+papers_7.bib+papers_8.bib,3,a large scale study of call graph based impact prediction using mutation testing
A lean approach to eliminating manual search and identification waste in server repair operations using a GPS-assisted hybrid tracking system,C. M. Jerusalem,2026,World Journal of Advanced Engineering Technology and Sciences,article,,https://doi.org/10.30574/wjaets.2026.19.2.0263,papers_14.bib,1,a lean approach to eliminating manual search and identification waste in server repair operations using a gps assisted hybrid tracking system
A Learning Algorithm for Change Impact Prediction,Vincenzo Musco and Antonin Carette and Monperrus Martin and P. Preux,2015,2016 IEEE/ACM 5th International Workshop on Realizing Artificial Intelligence Synergies in Software Engineering (RAISE),article,,https://api.semanticscholar.org/CorpusId:16129537,papers_12.bib+papers_7.bib+papers_8.bib,3,a learning algorithm for change impact prediction
A light-weight proactive software change impact analysis using use case maps,J. Hewitt and J. Rilling,2005,IEEE International Workshop on Software Evolvability (Software-Evolvability'05),article,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=\&arnumber=1544761,papers_8.bib,1,a light weight proactive software change impact analysis using use case maps
A Literature Review of Automatic Traceability Links Recovery for Software Change Impact Analysis,Thazin Win Win Aung and Huan Huo and Yulei Sui,2020,2020 IEEE/ACM 28th International Conference on Program Comprehension (ICPC),article,,http://dl.acm.org/citation.cfm?id=3389251,papers_8.bib,1,a literature review of automatic traceability links recovery for software change impact analysis
A literature review on different types of empirically evaluated bug localization approaches,Filip Zamfirov,2022,ArXiv,article,,https://api.semanticscholar.org/CorpusId:254974101,papers_10.bib+papers_11.bib,2,a literature review on different types of empirically evaluated bug localization approaches
A Method for Reducing Training Time of ML-Based Cascade Scheme for Large-Volume Data Analysis,Ivan Izonin and Roman Muzyka and R. Tkachenko and Ivanna Dronyuk and Kyrylo Yemets,2024,"Sensors (Basel, Switzerland)",article,,https://api.semanticscholar.org/CorpusId:271414745,papers_15.bib,1,a method for reducing training time of ml based cascade scheme for large volume data analysis
A Methodology for Operationalizing Enterprise IT Architecture and Evaluating its Modifiability,"Robert Lagerstr{\""o}m and Alan MacCormack and David Dreyfus and Carliss Y. Baldwin",2019,Complex Syst. Informatics Model. Q.,article,,https://api.semanticscholar.org/CorpusId:199448384,papers_9.bib,1,a methodology for operationalizing enterprise it architecture and evaluating its modifiability
A multi-level measures-driven change impact analysis approach for prioritizing software requirement changes,Hela Hakim and Asma Sellami and Han{\^e}ne Ben-Abdallah,2025,Innovations in Systems and Software Engineering,article,,https://doi.org/10.1007/s11334-025-00614-4,papers_8.bib,1,a multi level measures driven change impact analysis approach for prioritizing software requirement changes
A Multi-User Personal Indoor Localization System Employing Graph-Based Optimization,Michał R. Nowicki and P. Skrzypczyński,2019,"Sensors (Basel, Switzerland)",article,,https://api.semanticscholar.org/CorpusId:58646132,papers_13.bib+papers_4.bib,2,a multi user personal indoor localization system employing graph based optimization
A New Combinatorial Design of Coded Distributed Computing,Nicholas Woolsey and Rong-Rong Chen and Mingyue Ji,2018,2018 IEEE International Symposium on Information Theory (ISIT),article,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=\&arnumber=8437323,papers_15.bib,1,a new combinatorial design of coded distributed computing
A novel machine learning architecture to improve classification of intermediate cases in health: workflow and case study for public health,Bassel Hammoud and A. Semaan and Lenka Beňov{\'a} and Imad H. Elhajj,2025,BMC Bioinformatics,article,,https://api.semanticscholar.org/CorpusId:280048304,papers_15.bib,1,a novel machine learning architecture to improve classification of intermediate cases in health workflow and case study for public health
A Physics-Guided Dynamic Graph Attention Network for False Data Injection Attacks Detection and Localization in Smart Grids,Xiang Hu and Qi Qi and Jianzhong Wu and Deying Zhang and Haoran Yang and Bing Qi,2026,IEEE Transactions on Smart Grid,article,,https://doi.org/10.1109/tsg.2026.3706685,papers_4.bib,1,a physics guided dynamic graph attention network for false data injection attacks detection and localization in smart grids
A practical evaluation of spectrum-based fault localization,Rui Abreu and P. Zoeteweij and R. Golsteijn and A. V. Gemund,2009,J. Syst. Softw.,article,,https://doi.org/10.1016/j.jss.2009.06.035,papers_10.bib,1,a practical evaluation of spectrum based fault localization
A practice-driven systematic review of dependency analysis solutions,Trosky B. Callo Arias and P. V. D. Spek and P. Avgeriou,2011,Empirical Software Engineering,article,,https://api.semanticscholar.org/CorpusId:18615313,papers_8.bib,1,a practice driven systematic review of dependency analysis solutions
A Prediction Model for Software Requirements Change Impact,Kareshna Zamani,2021,2021 36th IEEE/ACM International Conference on Automated Software Engineering (ASE),article,,http://dl.acm.org/citation.cfm?id=3545404,papers_8.bib,1,a prediction model for software requirements change impact
A Preliminary Study on Using Code Smells to Improve Bug Localization,Aoi Takahashi and Natthawute Sae-Lim and Shinpei Hayashi and M. Saeki,2018,2018 IEEE/ACM 26th International Conference on Program Comprehension (ICPC),article,,http://dl.acm.org/citation.cfm?id=3196361,papers_10.bib+papers_11.bib,2,a preliminary study on using code smells to improve bug localization
A Real-Time Single-Phase Ground Fault Localization Method based on Improved Attention Mechanism Graph Neural Network for Multi-Source Data Fusion,Qiang Chen and Shangkun Liu and Sibin Li and Shiquan Ma and Zhuang Liu and Jiang Lin,2025,2025 2nd International Conference on Smart Grid and Artificial Intelligence (SGAI),article,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=\&arnumber=11009507,papers_4.bib,1,a real time single phase ground fault localization method based on improved attention mechanism graph neural network for multi source data fusion
A Real-Time Sound Field Rendering Processor,Yi-Yu Tan and Y. Inoguchi and M. Otani and Y. Iwaya and T. Tsuchiya,2017,Applied Sciences,article,,https://api.semanticscholar.org/CorpusId:46875075,papers_15.bib,1,a real time sound field rendering processor
A Retrieval-Assisted Framework for Wireless Localization,Hao-Ru Huang and Guangjin Pan and Kaixuan Huang and Shunqing Zhang and Yuhao Zhang and Musa Furkan Keskin and Zheng Xing and Henk Wymeersch,2026,unknown,inproceedings,,https://arxiv.org/pdf/2603.06158.pdf,papers_13.bib,1,a retrieval assisted framework for wireless localization
A Review of AI-Assisted Impact Analysis for Software Requirements Change: Challenges and Future Directions,A. Samhan and Suhair Alhajhassan and Sara Abu Dabaa't and A. Elrashidi,2024,2024 25th International Arab Conference on Information Technology (ACIT),article,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=\&arnumber=10877072,papers_8.bib,1,a review of ai assisted impact analysis for software requirements change challenges and future directions
A Rule-Based Approach to Analyzing Database Schema Objects with Datalog,C. Engels and Andreas Behrend and Stefan Brass,2017,International Workshop/Symposium on Logic-based Program Synthesis and Transformation,inproceedings,,https://api.semanticscholar.org/CorpusId:28247130,papers_9.bib,1,a rule based approach to analyzing database schema objects with datalog
A Rule-Based Change Impact Analysis Approach in Software Architecture for Requirements Changes,Arda Goknil and I. Kurtev and K. van den Berg,2016,ArXiv,article,,https://api.semanticscholar.org/CorpusId:18518655,papers_7.bib+papers_8.bib,2,a rule based change impact analysis approach in software architecture for requirements changes
A Scalable Framework for Wireless Distributed Computing,Songze Li and Qian Yu and M. Maddah-ali and A. Avestimehr,2016,IEEE/ACM Transactions on Networking,article,,http://dl.acm.org/citation.cfm?id=3179923,papers_15.bib,1,a scalable framework for wireless distributed computing
"A selective review on statistical methods for massive data computation: distributed computing, subsampling, and minibatch techniques",Xuetong Li and Yuan Gao and Hong Chang and Danyang Huang and Yingying Ma and Rui Pan and Haobo Qi and Feifei Wang and Shuyuan Wu and Ke Xu and Jing Zhou and Xuening Zhu and Yingqiu Zhu and Hansheng Wang,2024,Statistical Theory and Related Fields,article,,https://doi.org/10.1080/24754269.2024.2343151,papers_15.bib,1,a selective review on statistical methods for massive data computation distributed computing subsampling and minibatch techniques
A Semantic-Associated Factor Graph Model for LiDAR-Assisted Indoor Multipath Localization,Bingxun Liu and Ke-Wu Han and Zhong-Liang Deng and Gan Guo,2026,"Sensors (Basel, Switzerland)",article,,https://pdfs.semanticscholar.org/b583/24650d2926810b4f07e53355a68628cbcd19.pdf,papers_13.bib,1,a semantic associated factor graph model for lidar assisted indoor multipath localization
A Single Patch Is Not Enough: Deterministic Fusion of Repair Candidates,Bo-Yang Yang and Xiang-Liang Hu and Luyao Ren and Yan-Jun Chen and Bach Le and Tegawend{\'e} F. Bissyand{\'e} and Hao-Ye Tian,2026,ArXiv,article,,https://api.semanticscholar.org/CorpusId:289748559,papers_6.bib,1,a single patch is not enough deterministic fusion of repair candidates
A Software Impact Analysis Tool based on Change History Learning and its Evaluation,H. Iwasaki and Tsuyoshi Nakajima and R. Tsukamoto and Kazuko Takahashi and Shuichi Tokumoto,2022,2022 IEEE/ACM 44th International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP),article,,https://api.semanticscholar.org/CorpusId:249816031,papers_8.bib,1,a software impact analysis tool based on change history learning and its evaluation
A stochastic analysis of competing failures with propagation effects in functional dependency gates,Peican Zhu and Yangming Guo and Shubin Si and Jie Han,2017,IISE Transactions,article,,https://doi.org/10.1080/24725854.2017.1342056,papers_9.bib,1,a stochastic analysis of competing failures with propagation effects in functional dependency gates
A Study on the Impact of Fault localization Granularity for Repository-Scale Code Repair Tasks,Joe Townsend and Chandresh Pravin and K. Ngan and Matthieu Parizy,2026,ArXiv,article,,https://api.semanticscholar.org/CorpusId:287021825,papers_14.bib+papers_6.bib,2,a study on the impact of fault localization granularity for repository scale code repair tasks
A Survey and Comparison of Industrial and Academic Research on the Evolution of Software Product Lines,Elias Kuiter and G. Saake,2022,ArXiv,article,,https://api.semanticscholar.org/CorpusId:254564542,papers_7.bib,1,a survey and comparison of industrial and academic research on the evolution of software product lines
A Survey of Coded Distributed Computing,Jer Shyuan Ng and Wei Yang Bryan Lim and Nguyen Cong Luong and Zehui Xiong and Alia Asheralieva and D. Niyato and Cyril Leung and C. Miao,2020,ArXiv,article,,https://api.semanticscholar.org/CorpusId:221187068,papers_15.bib,1,a survey of coded distributed computing
A Survey of Near-Data Processing Architectures for Neural Networks,M. Hassanpour and Marc Riera and Antonio Gonz'alez,2021,Mach. Learn. Knowl. Extr.,article,,https://api.semanticscholar.org/CorpusId:245424759,papers_15.bib,1,a survey of near data processing architectures for neural networks
A survey of techniques for recognizing parallel processable streams in computer programs,C. Ramamoorthy and Mario J. Gonzalez,1899,AFIPS '69 (Fall),inproceedings,,http://dl.acm.org/citation.cfm?id=1478561,papers_15.bib,1,a survey of techniques for recognizing parallel processable streams in computer programs
A Systematic Literature Review on Large Language Models for Automated Program Repair,Quanjun Zhang and Chunrong Fang and Yang Xie and Yuxiang Ma and Weisong Sun and Yun Yang and Zhenyu Chen,2024,ACM Transactions on Software Engineering and Methodology,article,,http://dl.acm.org/citation.cfm?id=3799693,papers_6.bib,1,a systematic literature review on large language models for automated program repair
A Systematic Mapping Study on Impact Analysis,Emanuele Gentili and J. Çarka and Davide Falessi,2024,International Conference on Software and Data Technologies,inproceedings,,https://api.semanticscholar.org/CorpusId:271168119,papers_8.bib,1,a systematic mapping study on impact analysis
A Systematic Review of Automated Query Reformulations in Source Code Search,M. Rahman and C. Roy,2021,ACM Transactions on Software Engineering and Methodology,article,,https://api.semanticscholar.org/CorpusId:259129244,papers_10.bib+papers_11.bib,2,a systematic review of automated query reformulations in source code search
A systems biology approach for pathway level analysis.,S. Drăghici and P. Khatri and A. Tarca and Kashyap Amin and A. Done and Calin Voichita and C. Georgescu and R. Romero,2007,Genome research,article,,https://www.ncbi.nlm.nih.gov/pubmed/17785539,papers_7.bib,1,a systems biology approach for pathway level analysis
A taxonomy for software change impact analysis,Steffen Lehnert,2011,IWPSE-EVOL '11,inproceedings,,http://dl.acm.org/citation.cfm?id=2024454,papers_7.bib+papers_8.bib,2,a taxonomy for software change impact analysis
A Taxonomy of Reconfigurable Single-/Multiprocessor Systems-on-Chip,"D. G{\""o}hringer and T. Perschke and M. H{\""u}bner and J. Becker",2009,Int. J. Reconfigurable Comput.,article,,https://api.semanticscholar.org/CorpusId:21636418,papers_15.bib,1,a taxonomy of reconfigurable single multiprocessor systems on chip
A Theory of Network Localization,J. Aspnes and Tolga Eren and D. Goldenberg and A. Morse and W. Whiteley and Y. Yang and B. Anderson and P. Belhumeur,2006,IEEE Transactions on Mobile Computing,article,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=\&arnumber=1717436,papers_13.bib,1,a theory of network localization
A topic-based approach for narrowing the search space of buggy files from a bug report,A. Nguyen and Tung Thanh Nguyen and Jafar M. Al-Kofahi and H. V. Nguyen and T. Nguyen,2011,2011 26th IEEE/ACM International Conference on Automated Software Engineering (ASE 2011),article,,http://dl.acm.org/citation.cfm?id=2190181,papers_10.bib+papers_11.bib,2,a topic based approach for narrowing the search space of buggy files from a bug report
