case_id,split,bm25_top1_score,bm25_top1_top2_margin,bm25_top3_min,bm25_top10_min,bm25_top3_mean,bm25_top10_mean,bm25_top10_norm_entropy,bm25_concentration_top1,bm25_concentration_herfindahl,bm25_relthresh_count,bm25_elbow_k,bm25_zero_count,bm25_positive_count,bm25_nonzero_frac,bm25_score_range,bm25_top10_skew,disagree_jaccard_graph_k3,disagree_jaccard_graph_k5,disagree_jaccard_graph_k10,disagree_jaccard_pt_k3,disagree_jaccard_pt_k5,disagree_jaccard_pt_k10,disagree_jaccard_hy_k3,disagree_jaccard_hy_k5,disagree_jaccard_hy_k10,disagree_graph_omitted_k3,disagree_graph_omitted_k5,disagree_graph_omitted_k10,disagree_pt_omitted_k3,disagree_pt_omitted_k5,disagree_pt_omitted_k10,disagree_hy_omitted_k3,disagree_hy_omitted_k5,disagree_hy_omitted_k10,disagree_overlap_graph_k3,disagree_overlap_graph_k5,disagree_overlap_graph_k10,disagree_alt_share_of_p1_k3,disagree_alt_share_of_p1_k5,disagree_alt_share_of_p1_k10,disagree_max_bm25_omitted_graph_k3,disagree_max_bm25_omitted_graph_k5,disagree_max_bm25_omitted_graph_k10,disagree_max_bm25_omitted_pt_k3,disagree_max_bm25_omitted_pt_k5,disagree_max_bm25_omitted_pt_k10,disagree_graph_max_bm25_rank_k3,disagree_graph_max_bm25_rank_k5,disagree_graph_max_bm25_rank_k10,disagree_pt_max_bm25_rank_k3,disagree_pt_max_bm25_rank_k5,disagree_pt_max_bm25_rank_k10,graph_seed_count,graph_seed_eligible,graph_1hop_frontier_size,graph_2hop_frontier_size,graph_edge_count,graph_cross_module_edges,graph_density,graph_conn_components,graph_avg_degree,graph_isolated_count,graph_candidate_expansion_ratio,graph_p1_min_dist_seeds,graph_p1_mean_dist_seeds,graph_p1_reachable_frac,intent_char_len,intent_token_count,intent_set_size,intent_hit_frac,intent_identifier_like_count,candidate_path_token_count,candidate_token_vocab_size,n_modules,module_breadth,median_candidate_loc,median_candidate_import_count,candidate_class_count_total,candidate_function_count_total,n_candidates,fp_density_k3,fp_density_k5,fp_density_k10,fp_regenerate_count,fp_validate_count,fp_human_review_count,fp_preserve_count,fp_action_entropy,fp_mean_confidence,fp_serialized_decision_count,fp_mean_completion_tokens,sparse_bm25_jaccard_k3,sparse_bm25_jaccard_k5,sparse_bm25_jaccard_k10,sparse_bm25_omitted_k3,sparse_bm25_omitted_k5,sparse_bm25_omitted_k10,has_fn,fn_count,fn_rate,severity,proxy_size
djangocms-rc-06ecf3a8e8de,TRAIN,7.002513012293122,1.1711034004846237,5.567482550329083,3.003194665659186,6.133801724810234,4.954491306944633,0.9875368006475932,0.14133666966935252,0.031601826183189095,41.0,139.0,99.0,41.0,0.29285714285714287,7.002513012293122,0.5711261570828947,0.0,0.1111111111111111,0.6666666666666666,0.0,0.1111111111111111,0.6666666666666666,1.0,1.0,1.0,3.0,4.0,2.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.2,0.8,5.479434996732518,5.163312161589301,2.555580015930859,5.479434996732518,5.163312161589301,2.555580015930859,9.0,13.0,18.0,9.0,13.0,18.0,41.0,1.0,57.0,26.0,536.0,15.0,0.05508735868448099,13.0,7.6571428571428575,12.0,0.7,0,0.0,1.0,164.0,17.0,16.0,0.3125,5.0,100.0,437.0,2.0,0.014285714285714285,87.0,6.0,262.0,336.0,140.0,0.02142857142857143,0.03571428571428571,0.07142857142857142,0.3333333333333333,0.0,0.0,139.66666666666666,0.020397174437447065,0.31666666666666665,0.3333333333333333,63.666666666666664,0.1111111111111111,0.06666666666666667,0.03333333333333333,2.6666666666666665,4.666666666666667,9.666666666666666,1,1,1.0,complete,1
djangocms-rc-0daae01f2f65,VALIDATION,7.207452015453663,0.05529717016735791,6.61398129591743,2.7648288767158498,6.991196052219133,5.022863876332492,0.9773829700198595,0.14349287961823634,0.03304734832429555,40.0,151.0,111.0,41.0,0.26973684210526316,7.207452015453663,0.6163930233891649,0.2,1.0,0.5384615384615384,0.2,1.0,0.5384615384615384,1.0,1.0,1.0,2.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0,7.0,0.3333333333333333,1.0,0.7,5.883513429750176,0.0,2.647660668606462,5.883513429750176,0.0,2.647660668606462,5.0,5.0,18.0,5.0,5.0,18.0,41.0,1.0,65.0,29.0,561.0,15.0,0.048884628790519344,16.0,7.381578947368421,15.0,0.6973684210526315,0,0.0,1.0,97.0,13.0,12.0,0.4166666666666667,5.0,107.0,423.0,2.0,0.013157894736842105,73.0,5.0,251.0,337.0,152.0,0.019736842105263157,0.03289473684210526,0.06578947368421052,1.0,0.0,0.0,151.0,0.05714385792985574,0.9166666666666666,1.0,145.33333333333334,0.0,0.0,0.0,3.0,5.0,10.0,1,4,0.8,complete,5
djangocms-rc-0fec81224889,VALIDATION,11.862777397608887,3.2486332041170964,8.150269857153061,3.49680467190225,9.542397149417914,6.106071469311784,0.9619471781632439,0.19427839089714982,0.0678735382397475,20.0,139.0,117.0,23.0,0.16428571428571428,11.862777397608887,0.7052288385174384,0.5,0.6666666666666666,0.5384615384615384,0.5,0.6666666666666666,0.5384615384615384,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,4.0,7.0,0.6666666666666666,0.8,0.7,4.235579734919403,4.235579734919403,2.0651781169070893,4.235579734919403,4.235579734919403,2.0651781169070893,7.0,7.0,23.0,7.0,7.0,23.0,23.0,1.0,63.0,39.0,534.0,14.0,0.054881808838643374,14.0,7.628571428571429,13.0,0.6142857142857143,0,0.0,1.0,114.0,12.0,8.0,0.625,5.0,101.0,424.0,2.0,0.014285714285714285,80.0,6.0,247.0,334.0,140.0,0.02142857142857143,0.03571428571428571,0.07142857142857142,2.3333333333333335,0.6666666666666666,0.0,137.0,0.12090852054683786,0.8888888888888888,3.0,434.6666666666667,0.7777777777777777,0.4666666666666666,0.2333333333333333,0.6666666666666666,2.6666666666666665,7.666666666666667,1,1,0.3333333333333333,partial,3
djangocms-rc-1031d20fca28,VALIDATION,8.501522137867711,0.4199940484756297,7.421336009871326,2.702284624956354,8.001462079043707,5.0748983811596835,0.960092755697711,0.16752103193689954,0.028284302318147683,40.0,143.0,9.0,135.0,0.9375,8.501522137867711,0.6821410823692661,0.5,0.42857142857142855,0.42857142857142855,0.5,0.42857142857142855,0.42857142857142855,1.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,4.0,0.0,0.0,0.0,2.0,3.0,6.0,0.6666666666666666,0.6,0.6,3.2656928852973817,3.2656928852973817,2.39531655721502,3.2656928852973817,3.2656928852973817,2.39531655721502,7.0,8.0,31.0,7.0,8.0,31.0,135.0,1.0,4.0,2.0,559.0,17.0,0.054292929292929296,13.0,7.763888888888889,12.0,0.9652777777777778,0,0.0,1.0,371.0,35.0,32.0,0.3125,10.0,104.0,446.0,2.0,0.013888888888888888,87.0,6.0,259.0,356.0,144.0,0.020833333333333332,0.034722222222222224,0.06944444444444445,1.0,1.6666666666666667,0.0,141.33333333333334,0.09462489947839477,0.8777777777777778,2.6666666666666665,486.6666666666667,0.0,0.0,0.0,3.0,5.0,10.0,1,8,0.8888888888888888,complete,9
djangocms-rc-138abbb7e5f4,TRAIN,7.004404988512341,0.5881802016563427,4.964371136457388,2.5950315643097768,6.128333637275243,4.024673075577075,0.9705697350977308,0.17403662004293402,0.03564508117159312,34.0,147.0,112.0,36.0,0.24324324324324326,7.004404988512341,0.6295143458201248,0.5,0.25,0.1111111111111111,0.5,0.25,0.1111111111111111,1.0,1.0,1.0,1.0,3.0,8.0,1.0,3.0,8.0,0.0,0.0,0.0,2.0,2.0,2.0,0.6666666666666666,0.4,0.2,2.4922348247259904,2.4922348247259904,2.4922348247259904,2.4922348247259904,2.4922348247259904,2.4922348247259904,12.0,35.0,35.0,12.0,35.0,35.0,36.0,1.0,69.0,26.0,550.0,18.0,0.05056076484647913,14.0,7.4324324324324325,13.0,0.7094594594594594,0,0.0,1.0,65.0,8.0,8.0,0.25,2.0,103.0,410.0,2.0,0.013513513513513514,76.0,6.0,230.0,316.0,148.0,0.02027027027027027,0.033783783783783786,0.06756756756756757,1.0,2.3333333333333335,0.0,144.66666666666666,0.1117173326409872,0.9003333333333333,3.3333333333333335,483.6666666666667,0.0,0.0,0.0,3.0,5.0,10.0,0,0,0.0,none,1
djangocms-rc-1ff5bf9149b4,TRAIN,6.361647952742574,1.3554855964659716,4.553566571345631,3.6606337493198704,5.307125626788269,4.42407067263864,0.9943715189661876,0.14379625515675382,0.06683209404750473,17.0,151.0,135.0,17.0,0.1118421052631579,6.361647952742574,0.42457775461439484,0.5,0.25,0.8181818181818182,0.5,0.25,0.8181818181818182,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,9.0,0.6666666666666666,0.4,0.9,3.840934226341551,4.052420163557996,2.870028120666105,3.840934226341551,4.052420163557996,2.870028120666105,9.0,12.0,12.0,9.0,12.0,12.0,17.0,1.0,66.0,50.0,561.0,15.0,0.048884628790519344,16.0,7.381578947368421,15.0,0.5460526315789473,0,0.0,1.0,87.0,7.0,7.0,0.5714285714285714,4.0,107.0,423.0,2.0,0.013157894736842105,73.0,5.0,251.0,337.0,152.0,0.019736842105263157,0.03289473684210526,0.06578947368421052,3.0,0.6666666666666666,0.0,148.33333333333334,0.14391728609261292,0.9077777777777777,3.6666666666666665,684.6666666666666,0.20000000000000004,0.14285714285714285,0.1818181818181818,2.0,4.0,8.0,1,1,0.5,complete,2
djangocms-rc-28ddd6d10308,TRAIN,14.58768509237697,2.1195859155808847,12.367598627746872,9.664848252982331,13.141127632306643,11.757155641906797,0.9975612960330111,0.12407495092079186,0.017205096082835335,77.0,139.0,60.0,80.0,0.5714285714285714,14.58768509237697,0.3374652529322248,0.2,0.25,0.42857142857142855,0.2,0.25,0.42857142857142855,1.0,1.0,1.0,2.0,3.0,4.0,2.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,6.0,0.3333333333333333,0.4,0.6,10.96540855411103,10.96540855411103,6.247283504716602,10.96540855411103,10.96540855411103,6.247283504716602,9.0,35.0,46.0,9.0,35.0,46.0,80.0,1.0,44.0,5.0,526.0,14.0,0.05405960945529291,13.0,7.514285714285714,12.0,0.8857142857142857,0,0.0,1.0,657.0,73.0,52.0,0.4423076923076923,23.0,101.0,434.0,2.0,0.014285714285714285,79.0,6.0,248.0,337.0,140.0,0.02142857142857143,0.03571428571428571,0.07142857142857142,3.3333333333333335,3.0,0.0,133.66666666666666,0.1945058976406129,0.8536507936507937,6.333333333333333,1114.3333333333333,0.05555555555555555,0.041666666666666664,0.21313131313131314,2.6666666666666665,4.666666666666667,7.666666666666667,1,3,1.0,complete,3
djangocms-rc-2efae8e43bd6,TRAIN,12.966878436872266,3.4879218994926955,6.550914739618023,4.77175811945627,9.66558323795662,6.720362050375984,0.9756521986748427,0.19294910511773408,0.02112214021869143,54.0,143.0,7.0,137.0,0.9513888888888888,12.966878436872266,0.6320040985432988,0.5,0.42857142857142855,0.5384615384615384,0.5,0.42857142857142855,0.5384615384615384,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,3.0,7.0,0.6666666666666666,0.6,0.7,2.981482040434597,3.521962212693161,3.521962212693161,2.981482040434597,3.521962212693161,3.521962212693161,28.0,28.0,45.0,28.0,28.0,45.0,137.0,1.0,3.0,1.0,562.0,17.0,0.054584304584304584,13.0,7.805555555555555,12.0,0.9722222222222222,0,0.0,1.0,1012.0,147.0,29.0,0.27586206896551724,8.0,104.0,452.0,2.0,0.013888888888888888,89.0,6.0,262.0,364.0,144.0,0.020833333333333332,0.034722222222222224,0.06944444444444445,1.0,2.0,0.0,141.0,0.10424562931578978,0.8666666666666666,3.0,436.6666666666667,0.3333333333333333,0.20000000000000004,0.10000000000000002,2.0,4.0,9.0,0,0,0.0,none,1
djangocms-rc-33fbdb18e5d4,TRAIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,10.0,0.0,0.0,0.0,0.0,536.0,15.0,0.05508735868448099,13.0,7.6571428571428575,12.0,0.0,1000000.0,1000000.0,0.0,8.0,1.0,1.0,0.0,0.0,100.0,437.0,2.0,0.014285714285714285,87.0,6.0,262.0,336.0,140.0,0.02142857142857143,0.03571428571428571,0.07142857142857142,0.0,0.0,0.0,140.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,3.0,5.0,10.0,1,2,1.0,complete,2
djangocms-rc-39442083f18a,TRAIN,12.032069498816625,1.0454587871143257,6.909482089935871,4.0851901123859085,9.976054100151599,6.684785120497682,0.9710553947692206,0.17999186633422912,0.03575046441997004,40.0,151.0,109.0,43.0,0.28289473684210525,12.032069498816625,0.660474857397749,0.2,0.42857142857142855,0.5384615384615384,0.2,0.42857142857142855,0.5384615384615384,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,3.0,7.0,0.3333333333333333,0.6,0.7,6.573562145675833,5.198877946595553,2.647660668606462,6.573562145675833,5.198877946595553,2.647660668606462,9.0,9.0,30.0,9.0,9.0,30.0,43.0,1.0,63.0,28.0,561.0,15.0,0.048884628790519344,16.0,7.381578947368421,15.0,0.6973684210526315,0,0.0,1.0,98.0,12.0,12.0,0.75,9.0,107.0,423.0,2.0,0.013157894736842105,73.0,5.0,251.0,337.0,152.0,0.019736842105263157,0.03289473684210526,0.06578947368421052,1.0,2.0,0.0,149.0,0.09974033290522734,0.8722222222222222,3.0,486.0,0.3333333333333333,0.20000000000000004,0.10000000000000002,2.0,4.0,9.0,1,1,1.0,complete,1
