case_id,arm,PRESERVE,VALIDATE,HUMAN_REVIEW
djangocms-rc-4307e1b8c2e2,full_v2,0,0,0
djangocms-rc-4307e1b8c2e2,sparse_v2,0,0,0
djangocms-rc-50c3576080be,full_v2,28,0,0
djangocms-rc-50c3576080be,sparse_v2,28,5,0
djangocms-rc-630a50361ada,full_v2,2,0,0
djangocms-rc-630a50361ada,sparse_v2,3,0,0
djangocms-rc-66c70394c9e1,full_v2,0,0,0
djangocms-rc-66c70394c9e1,sparse_v2,0,0,0
djangocms-rc-75978fb1c3ad,full_v2,0,0,0
djangocms-rc-75978fb1c3ad,sparse_v2,0,0,0
djangocms-rc-8d50660e7bcf,full_v2,2,0,0
djangocms-rc-8d50660e7bcf,sparse_v2,7,2,0
djangocms-rc-9e33db4f4660,full_v2,5,0,0
djangocms-rc-9e33db4f4660,sparse_v2,3,0,0
djangocms-rc-b39799f9fc1c,full_v2,8,0,0
djangocms-rc-b39799f9fc1c,sparse_v2,10,0,0
djangocms-rc-ba16eb9a1d09,full_v2,18,0,0
djangocms-rc-ba16eb9a1d09,sparse_v2,17,1,0
djangocms-rc-fdda30c271f0,full_v2,7,0,0
djangocms-rc-fdda30c271f0,sparse_v2,6,0,0
