task_id,|U_t|,|G_t|,full_v2_predicted,full_v2_tp,full_v2_fp,full_v2_fn,full_v2_P,full_v2_R,full_v2_F1,full_v2_FNR,full_v2_PRESERVE,full_v2_REGENERATE,full_v2_VALIDATE,full_v2_HUMAN_REVIEW,sparse_v2_predicted,sparse_v2_tp,sparse_v2_fp,sparse_v2_fn,sparse_v2_P,sparse_v2_R,sparse_v2_F1,sparse_v2_FNR,sparse_v2_PRESERVE,sparse_v2_REGENERATE,sparse_v2_VALIDATE,sparse_v2_HUMAN_REVIEW,LocAgent_status,LocAgent_predicted,LocAgent_calls,LocAgent_total_tokens,LocAgent_cost_usd
djangocms-rc-4307e1b8c2e2,140,1,9,3,6,0,0.3333,1.0,0.5,0.0,411,9,0,0,12,3,9,0,0.25,1.0,0.4,0.0,0,12,7,0,empty:timeout,0,43,5358303,1.610721
djangocms-rc-50c3576080be,144,12,12,8,4,28,0.6667,0.2222,0.3333,0.7778,420,12,0,0,6,3,3,33,0.5,0.0833,0.1429,0.9167,0,6,10,0,usable,11,67,4464166,1.344142
djangocms-rc-630a50361ada,152,1,9,1,8,2,0.1111,0.3333,0.1667,0.6667,447,9,0,0,5,0,5,3,0.0,0.0,0.0,1.0,0,5,2,0,usable,1,77,6476861,1.947922
djangocms-rc-66c70394c9e1,140,1,25,3,22,0,0.12,1.0,0.2143,0.0,395,25,0,0,8,3,5,0,0.375,1.0,0.5455,0.0,0,8,5,0,empty:context-length,0,71,7719291,2.326384
djangocms-rc-75978fb1c3ad,140,1,3,3,0,0,1.0,1.0,1.0,0.0,417,3,0,0,3,3,0,0,1.0,1.0,1.0,0.0,0,3,8,0,usable,1,43,3539517,1.065743
djangocms-rc-8d50660e7bcf,144,5,13,13,0,2,1.0,0.8667,0.9286,0.1333,419,13,0,0,6,6,0,9,1.0,0.4,0.5714,0.6,0,6,2,0,usable,3,28,1458494,0.439174
djangocms-rc-9e33db4f4660,144,2,11,1,10,5,0.0909,0.1667,0.1176,0.8333,421,11,0,0,9,3,6,3,0.3333,0.5,0.4,0.5,0,9,3,0,empty:completed-but-empty,0,25,1451982,0.437094
djangocms-rc-b39799f9fc1c,140,5,26,7,19,8,0.2692,0.4667,0.3415,0.5333,394,26,0,0,13,5,8,10,0.3846,0.3333,0.3571,0.6667,0,13,2,0,empty:completed-but-empty,0,21,1011762,0.304728
djangocms-rc-ba16eb9a1d09,152,6,7,0,7,18,0.0,0.0,0.0,1.0,449,7,0,0,6,0,6,18,0.0,0.0,0.0,1.0,0,6,5,0,usable,7,20,1085484,0.32692
djangocms-rc-fdda30c271f0,144,3,6,2,4,7,0.3333,0.2222,0.2667,0.7778,426,6,0,0,7,3,4,6,0.4286,0.3333,0.375,0.6667,0,7,3,0,empty:timeout,0,7,265914,0.125984
