case_id,item_index,observed_changed_file,top_ranked_omitted,matched_random_omitted,rater_category,confidence,notes
djangocms-rc-121ff74d760a,0,cms/api.py,cms/__init__.py,cms/wizards/helpers.py,1_required,0.9,
djangocms-rc-121ff74d760a,1,cms/extensions/models.py,cms/__main__.py,cms/management/commands/subcommands/__init__.py,2_related_optional,0.9,
djangocms-rc-121ff74d760a,2,,cms/admin/__init__.py,cms/operations/__init__.py,3_incidental_tangled,0.9,
djangocms-rc-121ff74d760a,3,,cms/admin/forms.py,cms/toolbar/__init__.py,4_not_determinable,0.9,
djangocms-rc-121ff74d760a,4,,cms/admin/pageadmin.py,menus/templatetags/menu_tags.py,1_required,0.9,
djangocms-rc-8579be00312e,0,cms/cache/page.py,cms/middleware/user.py,cms/utils/compat/dj.py,2_related_optional,0.9,
djangocms-rc-8579be00312e,1,cms/cms_toolbars.py,cms/utils/permissions.py,cms/toolbar/items.py,3_incidental_tangled,0.9,
djangocms-rc-8579be00312e,2,cms/middleware/toolbar.py,cms/utils/__init__.py,cms/models/permissionmodels.py,4_not_determinable,0.9,
djangocms-rc-8579be00312e,3,cms/plugin_rendering.py,cms/admin/useradmin.py,cms/apps.py,1_required,0.9,
djangocms-rc-8579be00312e,4,cms/templatetags/cms_tags.py,cms/middleware/page.py,menus/apps.py,2_related_optional,0.9,
djangocms-rc-2e090d6c2fd9,0,cms/admin/forms.py,cms/admin/useradmin.py,menus/__init__.py,3_incidental_tangled,0.9,
djangocms-rc-2e090d6c2fd9,1,cms/admin/pageadmin.py,cms/extensions/admin.py,cms/templatetags/cms_admin.py,4_not_determinable,0.9,
djangocms-rc-2e090d6c2fd9,2,cms/admin/permissionadmin.py,cms/admin/permissionadmin.py,cms/utils/admin.py,1_required,0.9,
djangocms-rc-2e090d6c2fd9,3,cms/cms_toolbars.py,cms/models/managers.py,cms/wizards/urls.py,2_related_optional,0.9,
djangocms-rc-2e090d6c2fd9,4,cms/forms/validators.py,cms/admin/settingsadmin.py,menus/menu_pool.py,3_incidental_tangled,0.9,
djangocms-rc-2e090d6c2fd9,5,cms/forms/wizards.py,,,4_not_determinable,0.9,
djangocms-rc-2e090d6c2fd9,6,cms/models/pagemodel.py,,,1_required,0.9,
djangocms-rc-2e090d6c2fd9,7,cms/models/titlemodels.py,,,2_related_optional,0.9,
djangocms-rc-2e090d6c2fd9,8,cms/templatetags/cms_admin.py,,,3_incidental_tangled,0.9,
djangocms-rc-19804319f83b,0,cms/cms_menus.py,cms/__init__.py,cms/utils/permissions.py,4_not_determinable,0.9,
djangocms-rc-19804319f83b,1,cms/cms_toolbars.py,cms/admin/__init__.py,cms/utils/admin.py,1_required,0.9,
djangocms-rc-19804319f83b,2,cms/toolbar/toolbar.py,cms/admin/forms.py,cms/signals/permissions.py,2_related_optional,0.9,
djangocms-rc-19804319f83b,3,cms/views.py,cms/admin/pageadmin.py,cms/middleware/language.py,3_incidental_tangled,0.9,
djangocms-rc-19804319f83b,4,cms/wizards/views.py,cms/admin/permissionadmin.py,cms/utils/__init__.py,4_not_determinable,0.9,
djangocms-rc-19804319f83b,5,menus/menu_pool.py,,,1_required,0.9,
djangocms-rc-19804319f83b,6,menus/utils.py,,,2_related_optional,0.9,
djangocms-rc-f96c80357c71,0,cms/cms_plugins.py,cms/exceptions.py,cms/models/aliaspluginmodel.py,3_incidental_tangled,0.9,
djangocms-rc-f96c80357c71,1,cms/utils/plugins.py,cms/plugin_base.py,cms/toolbar/__init__.py,4_not_determinable,0.9,
djangocms-rc-f96c80357c71,2,,cms/plugin_pool.py,cms/utils/compat/tests.py,1_required,0.9,
djangocms-rc-f96c80357c71,3,,cms/plugin_processors.py,cms/admin/change_list.py,2_related_optional,0.9,
djangocms-rc-f96c80357c71,4,,cms/cms_plugins.py,cms/publisher/errors.py,3_incidental_tangled,0.9,
djangocms-rc-4e69677c94cd,0,cms/app_base.py,menus/menu_pool.py,cms/forms/fields.py,4_not_determinable,0.9,
djangocms-rc-4e69677c94cd,1,cms/apphook_pool.py,menus/templatetags/menu_tags.py,cms/views.py,1_required,0.9,
