case_id,item_index,observed_changed_file,top_ranked_omitted,matched_random_omitted,rater_category,confidence,notes,rater_a,rater_b,adjudicated
djangocms-rc-121ff74d760a,0,cms/api.py,cms/__init__.py,cms/wizards/helpers.py,,,,,,
djangocms-rc-121ff74d760a,1,cms/extensions/models.py,cms/__main__.py,cms/management/commands/subcommands/__init__.py,,,,,,
djangocms-rc-121ff74d760a,2,,cms/admin/__init__.py,cms/operations/__init__.py,,,,,,
djangocms-rc-121ff74d760a,3,,cms/admin/forms.py,cms/toolbar/__init__.py,,,,,,
djangocms-rc-121ff74d760a,4,,cms/admin/pageadmin.py,menus/templatetags/menu_tags.py,,,,,,
djangocms-rc-8579be00312e,0,cms/cache/page.py,cms/middleware/user.py,cms/utils/compat/dj.py,,,,,,
djangocms-rc-8579be00312e,1,cms/cms_toolbars.py,cms/utils/permissions.py,cms/toolbar/items.py,,,,,,
djangocms-rc-8579be00312e,2,cms/middleware/toolbar.py,cms/utils/__init__.py,cms/models/permissionmodels.py,,,,,,
djangocms-rc-8579be00312e,3,cms/plugin_rendering.py,cms/admin/useradmin.py,cms/apps.py,,,,,,
djangocms-rc-8579be00312e,4,cms/templatetags/cms_tags.py,cms/middleware/page.py,menus/apps.py,,,,,,
djangocms-rc-2e090d6c2fd9,0,cms/admin/forms.py,cms/admin/useradmin.py,menus/__init__.py,,,,,,
djangocms-rc-2e090d6c2fd9,1,cms/admin/pageadmin.py,cms/extensions/admin.py,cms/templatetags/cms_admin.py,,,,,,
djangocms-rc-2e090d6c2fd9,2,cms/admin/permissionadmin.py,cms/admin/permissionadmin.py,cms/utils/admin.py,,,,,,
djangocms-rc-2e090d6c2fd9,3,cms/cms_toolbars.py,cms/models/managers.py,cms/wizards/urls.py,,,,,,
djangocms-rc-2e090d6c2fd9,4,cms/forms/validators.py,cms/admin/settingsadmin.py,menus/menu_pool.py,,,,,,
djangocms-rc-2e090d6c2fd9,5,cms/forms/wizards.py,,,,,,,,
djangocms-rc-2e090d6c2fd9,6,cms/models/pagemodel.py,,,,,,,,
djangocms-rc-2e090d6c2fd9,7,cms/models/titlemodels.py,,,,,,,,
djangocms-rc-2e090d6c2fd9,8,cms/templatetags/cms_admin.py,,,,,,,,
djangocms-rc-19804319f83b,0,cms/cms_menus.py,cms/__init__.py,cms/utils/permissions.py,,,,,,
djangocms-rc-19804319f83b,1,cms/cms_toolbars.py,cms/admin/__init__.py,cms/utils/admin.py,,,,,,
djangocms-rc-19804319f83b,2,cms/toolbar/toolbar.py,cms/admin/forms.py,cms/signals/permissions.py,,,,,,
djangocms-rc-19804319f83b,3,cms/views.py,cms/admin/pageadmin.py,cms/middleware/language.py,,,,,,
djangocms-rc-19804319f83b,4,cms/wizards/views.py,cms/admin/permissionadmin.py,cms/utils/__init__.py,,,,,,
djangocms-rc-19804319f83b,5,menus/menu_pool.py,,,,,,,,
djangocms-rc-19804319f83b,6,menus/utils.py,,,,,,,,
djangocms-rc-f96c80357c71,0,cms/cms_plugins.py,cms/exceptions.py,cms/models/aliaspluginmodel.py,,,,,,
djangocms-rc-f96c80357c71,1,cms/utils/plugins.py,cms/plugin_base.py,cms/toolbar/__init__.py,,,,,,
djangocms-rc-f96c80357c71,2,,cms/plugin_pool.py,cms/utils/compat/tests.py,,,,,,
djangocms-rc-f96c80357c71,3,,cms/plugin_processors.py,cms/admin/change_list.py,,,,,,
djangocms-rc-f96c80357c71,4,,cms/cms_plugins.py,cms/publisher/errors.py,,,,,,
djangocms-rc-4e69677c94cd,0,cms/app_base.py,menus/menu_pool.py,cms/forms/fields.py,,,,,,
djangocms-rc-4e69677c94cd,1,cms/apphook_pool.py,menus/templatetags/menu_tags.py,cms/views.py,,,,,,
djangocms-rc-4e69677c94cd,2,cms/appresolver.py,cms/utils/i18n.py,cms/utils/request_ip_resolvers.py,,,,,,
djangocms-rc-4e69677c94cd,3,cms/cms_menus.py,cms/templatetags/cms_tags.py,cms/management/commands/subcommands/delete_orphaned_plugins.py,,,,,,
djangocms-rc-4e69677c94cd,4,cms/views.py,cms/utils/moderator.py,cms/utils/permissions.py,,,,,,
djangocms-rc-5cc4ba2f53d3,0,cms/cms_wizards.py,cms/__init__.py,cms/admin/__init__.py,,,,,,
djangocms-rc-5cc4ba2f53d3,1,cms/forms/wizards.py,cms/admin/__init__.py,cms/views.py,,,,,,
djangocms-rc-5cc4ba2f53d3,2,cms/utils/permissions.py,cms/admin/change_list.py,cms/admin/permissionadmin.py,,,,,,
djangocms-rc-5cc4ba2f53d3,3,,cms/admin/dialog/__init__.py,cms/south_migrations/0030_limit_visibility_in_menu_step3of3.py,,,,,,
djangocms-rc-5cc4ba2f53d3,4,,cms/admin/dialog/forms.py,cms/admin/useradmin.py,,,,,,
djangocms-rc-97c50fee715d,0,cms/middleware/toolbar.py,cms/__init__.py,cms/utils/helpers.py,,,,,,
djangocms-rc-97c50fee715d,1,cms/utils/conf.py,cms/admin/__init__.py,cms/admin/useradmin.py,,,,,,
djangocms-rc-97c50fee715d,2,,cms/admin/change_list.py,menus/menu_pool.py,,,,,,
djangocms-rc-97c50fee715d,3,,cms/admin/dialog/__init__.py,cms/extensions/toolbar.py,,,,,,
djangocms-rc-97c50fee715d,4,,cms/admin/dialog/forms.py,cms/utils/decorators.py,,,,,,
djangocms-rc-b740724656f0,0,cms/admin/forms.py,cms/__init__.py,cms/cache/choices.py,,,,,,
djangocms-rc-b740724656f0,1,cms/forms/widgets.py,cms/admin/__init__.py,cms/api.py,,,,,,
djangocms-rc-b740724656f0,2,cms/templatetags/cms_tags.py,cms/admin/change_list.py,cms/extensions/models.py,,,,,,
djangocms-rc-b740724656f0,3,cms/templatetags/cms_wizard_tags.py,cms/admin/forms.py,menus/models.py,,,,,,
djangocms-rc-b740724656f0,4,cms/utils/compat/__init__.py,cms/admin/pageadmin.py,cms/models/settingmodels.py,,,,,,
djangocms-rc-b740724656f0,5,cms/wizards/forms.py,,,,,,,,
djangocms-rc-b740724656f0,6,cms/wizards/wizard_base.py,,,,,,,,
djangocms-rc-1e2ff09e1134,0,cms/admin/placeholderadmin.py,cms/admin/pageadmin.py,cms/management/commands/subcommands/delete_orphaned_plugins.py,,,,,,
djangocms-rc-1e2ff09e1134,1,cms/models/pluginmodel.py,cms/utils/mail.py,cms/utils/__init__.py,,,,,,
djangocms-rc-1e2ff09e1134,2,cms/plugin_base.py,cms/models/apphooks_reload.py,cms/forms/utils.py,,,,,,
djangocms-rc-1e2ff09e1134,3,cms/utils/conf.py,cms/utils/conf.py,cms/__main__.py,,,,,,
djangocms-rc-1e2ff09e1134,4,,cms/models/contentmodels.py,cms/cache/choices.py,,,,,,
djangocms-rc-829f7e224887,0,cms/cms_menus.py,cms/cache/permissions.py,cms/management/commands/subcommands/check.py,,,,,,
djangocms-rc-829f7e224887,1,menus/menu_pool.py,cms/cache/page.py,menus/modifiers.py,,,,,,
djangocms-rc-829f7e224887,2,menus/models.py,menus/models.py,cms/forms/utils.py,,,,,,
djangocms-rc-829f7e224887,3,,cms/menu_bases.py,cms/utils/django_load.py,,,,,,
djangocms-rc-829f7e224887,4,,cms/signals/permissions.py,cms/toolbar_base.py,,,,,,
djangocms-rc-61a5a1018e48,0,cms/page_rendering.py,cms/plugin_processors.py,cms/south_migrations/0007_apphook_longer.py,,,,,,
djangocms-rc-61a5a1018e48,1,cms/plugin_rendering.py,cms/plugin_rendering.py,cms/models/pagemodel.py,,,,,,
djangocms-rc-61a5a1018e48,2,,cms/utils/placeholder.py,cms/models/permissionmodels.py,,,,,,
djangocms-rc-61a5a1018e48,3,,cms/__init__.py,cms/extensions/extension_pool.py,,,,,,
djangocms-rc-61a5a1018e48,4,,cms/admin/pageadmin.py,cms/south_migrations/0054_new_publisher_data.py,,,,,,
djangocms-rc-54edd397e874,0,cms/app_base.py,cms/__init__.py,cms/toolbar/toolbar.py,,,,,,
djangocms-rc-54edd397e874,1,cms/menu_bases.py,cms/admin/__init__.py,cms/models/aliaspluginmodel.py,,,,,,
djangocms-rc-54edd397e874,2,,cms/admin/change_list.py,cms/models/query.py,,,,,,
djangocms-rc-54edd397e874,3,,cms/admin/dialog/__init__.py,cms/utils/compat/forms.py,,,,,,
djangocms-rc-54edd397e874,4,,cms/admin/dialog/forms.py,cms/utils/decorators.py,,,,,,
djangocms-rc-2403d4ea162b,0,cms/models/permissionmodels.py,cms/signals/permissions.py,cms/extensions/extension_pool.py,,,,,,
djangocms-rc-2403d4ea162b,1,,cms/admin/useradmin.py,cms/templatetags/cms_static.py,,,,,,
djangocms-rc-2403d4ea162b,2,,cms/utils/permissions.py,cms/__init__.py,,,,,,
djangocms-rc-2403d4ea162b,3,,cms/utils/page_permissions.py,cms/cache/placeholder.py,,,,,,
djangocms-rc-2403d4ea162b,4,,cms/admin/forms.py,cms/cms_toolbars.py,,,,,,
djangocms-rc-c9c4665b858e,0,cms/plugin_base.py,cms/utils/plugins.py,cms/forms/fields.py,,,,,,
djangocms-rc-c9c4665b858e,1,cms/plugin_rendering.py,cms/cms_plugins.py,cms/wizards/views.py,,,,,,
djangocms-rc-c9c4665b858e,2,cms/templatetags/cms_js_tags.py,menus/exceptions.py,cms/forms/wizards.py,,,,,,
djangocms-rc-c9c4665b858e,3,,cms/utils/copy_plugins.py,cms/signals/plugins.py,,,,,,
djangocms-rc-c9c4665b858e,4,,cms/management/commands/subcommands/list.py,cms/__init__.py,,,,,,
djangocms-rc-53e4e887073b,0,cms/admin/forms.py,cms/cache/__init__.py,cms/models/metaclasses.py,,,,,,
djangocms-rc-53e4e887073b,1,cms/admin/pageadmin.py,cms/cache/placeholder.py,cms/admin/forms.py,,,,,,
djangocms-rc-53e4e887073b,2,cms/cache/__init__.py,cms/cache/permissions.py,cms/page_rendering.py,,,,,,
djangocms-rc-53e4e887073b,3,cms/management/commands/subcommands/copy.py,cms/cache/choices.py,cms/utils/compat/forms.py,,,,,,
djangocms-rc-53e4e887073b,4,cms/models/pagemodel.py,cms/models/query.py,cms/management/commands/subcommands/delete_orphaned_plugins.py,,,,,,
djangocms-rc-53e4e887073b,5,cms/utils/conf.py,,,,,,,,
djangocms-rc-53e4e887073b,6,menus/menu_pool.py,,,,,,,,
djangocms-rc-d648239f0c74,0,cms/cms_plugins.py,cms/cms_plugins.py,cms/signals/page.py,,,,,,
djangocms-rc-d648239f0c74,1,cms/models/aliaspluginmodel.py,cms/exceptions.py,cms/toolbar/toolbar.py,,,,,,
