task_id,status,parent_commit,target_commit,parent_available,target_available,n_changed,n_production,n_test,n_test_added,n_test_modified,n_test_deleted,n_migration,n_config_or_infra,f2p_candidacy,test_command
saleor-rc-0179b331be38,OK,d5ff468f84bd400de9a66eeaf748f12a98f6276d,0179b331be386e5075b69b868a8a16005a563b56,True,True,2,1,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/product/tests/test_tasks.py
saleor-rc-02d266b6e34b,OK,cd6ea4e612cdc34525e8fcc1c4e51cb5daee959e,02d266b6e34b84d4cca5bcfc05d78490a1d10dec,True,True,1,1,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-02dfdad9985b,OK,38b5f84f610f5ac6d4f19111480511bfa2f4332a,02dfdad9985b2ee573b6ab9f64b766fe73fe012c,True,True,5,4,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/checkout/tests/benchmark/test_checkout_mutations.py
saleor-rc-032b98afff20,OK,b093ceea356ff9a801205bfec22814daf878c1c3,032b98afff2026468336882ffc04f235243fc4fc,True,True,40,3,37,0,37,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/checkout/tests/test_actions.py; pytest saleor/graphql/checkout/tests/mutations/test_checkout_add_promo_code.py; pytest saleor/graphql/checkout/tests/mutations/test_checkout_billing_address_update.py; pytest saleor/graphql/checkout/tests/mutations/test_checkout_create.py; pytest saleor/graphql/checkout/tests/mutations/test_checkout_customer_attach.py; pytest saleor/graphql/checkout/tests/mutations/test_checkout_customer_detach.py; pytest saleor/graphql/checkout/tests/mutations/test_checkout_customer_note_update.py; pytest saleor/graphql/checkout/tests/mutations/test_checkout_delivery_method_update.py; pytest saleor/graphql/checkout/tests/mutations/test_checkout_email_update.py; pytest saleor/graphql/checkout/tests/mutations/test_checkout_language_code_update.py; pytest saleor/graphql/checkout/tests/mutations/test_checkout_line_delete.py; pytest saleor/graphql/checkout/tests/mutations/test_checkout_lines_delete.py; pytest saleor/graphql/checkout/tests/mutations/test_checkout_shipping_address_update.py; pytest saleor/graphql/checkout/tests/mutations/test_checkout_shipping_method_update.py; pytest saleor/graphql/meta/tests/mutations/test_checkout.py; pytest saleor/graphql/meta/tests/mutations/test_order.py; pytest saleor/graphql/order/tests/mutations/test_draft_order_complete.py; pytest saleor/graphql/order/tests/mutations/test_draft_order_create.py; pytest saleor/graphql/order/tests/mutations/test_draft_order_delete.py; pytest saleor/graphql/order/tests/mutations/test_draft_order_update.py; pytest saleor/graphql/order/tests/mutations/test_order_cancel.py; pytest saleor/graphql/order/tests/mutations/test_order_capture.py; pytest saleor/graphql/order/tests/mutations/test_order_confirm.py; pytest saleor/graphql/order/tests/mutations/test_order_fulfill.py; pytest saleor/graphql/order/tests/mutations/test_order_line_delete.py; pytest saleor/graphql/order/tests/mutations/test_order_line_update.py; pytest saleor/graphql/order/tests/mutations/test_order_lines_create.py; pytest saleor/graphql/order/tests/mutations/test_order_note_add.py; pytest saleor/graphql/order/tests/mutations/test_order_note_update.py; pytest saleor/graphql/order/tests/mutations/test_order_update.py; pytest saleor/graphql/order/tests/mutations/test_order_update_shipping.py; pytest saleor/order/tests/test_order_actions.py; pytest saleor/order/tests/test_tasks.py; pytest saleor/plugins/webhook/tests/test_webhook.py; pytest saleor/webhook/tests/subscription_webhooks/test_webhook.py; pytest saleor/webhook/tests/test_webhook_protocols.py; pytest saleor/webhook/transport/tests/test_utils.py
saleor-rc-03be7057c1f1,OK,cab567b9fe5cb88172d618286f4233c8385df9b6,03be7057c1f1d920d0f5498e3f7669f9f94cb327,True,True,4,3,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/payment/gateways/adyen/tests/webhooks/test_handle_notifications.py
saleor-rc-03c5a9916858,OK,4f396ca0985a2cb3d4e3f916e5a0c6f4612963a1,03c5a991685858368c98cb260e8faf75cd07496b,True,True,4,2,2,0,2,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/menu/tests/deprecated/test_menu.py; pytest saleor/graphql/product/tests/deprecated/test_product.py
saleor-rc-05bdc7feb9ac,OK,376da3af89b4b8c55b5596bd59f641da21128d73,05bdc7feb9acfba14424dc97a6dbefdd8ab8ecae,True,True,17,8,8,4,4,0,1,0,STRONG_F2P_CANDIDATE,pytest saleor/graphql/order/tests/test_fulfillment.py; pytest saleor/graphql/order/tests/test_fulfillment_refund_products.py; pytest saleor/graphql/order/tests/test_fulfillment_return_products.py; pytest saleor/graphql/order/tests/test_order.py; pytest saleor/order/tests/test_order_actions.py; pytest saleor/order/tests/test_order_actions_create_fulfillments_for_returned_products.py; pytest saleor/order/tests/test_order_actions_refund_products.py; pytest saleor/tests/fixtures.py
saleor-rc-069b6a39f683,OK,f3bf3e6f6fc9d54c356d83193d00f7cc128ab305,069b6a39f68344aa3bb9a4e30e4bf2ecaf64b9a2,True,True,1,1,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-070f4bd7c042,OK,7e43b1e3588e8a8553d16d075e24fa236a04416a,070f4bd7c042714c6400e196c8da51fe83e2b840,True,True,2,2,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-0713acb0f004,OK,d0e187099cf330bd457940f9fc9bec000799f0fc,0713acb0f004fb2e139fadec4788d7eb66db6bec,True,True,2,2,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
